Audio表格,,,,
Both,,,,
ID,VariableName,VariableComment,Path,Description
int,string,string,string,string
Both,None,None,Both,Both
唯一ID,生成的变量名,注释,"音效在GameResources下的相对路径,带后缀",描述
,,,,
,,,,
,,,,
1000,,,Audio/UI_SFX/General_Button_0.wav,音效——按钮点击。除关闭/返回按钮外，所有按钮点击/选中的通用音效，可以和任务、出战、背包功能等的音效叠加
1001,,,Audio/UI_SFX/General_CloseButton.wav,音效——按钮点击。所有界面关闭按钮点击/返回按钮点击的通用音效
1002,,,Audio/UI_SFX/Paper1.wav,音效——按钮点击。主基地任务功能入口按钮点击
1003,,,Audio/UI_SFX/InventoryOpen.wav,音效——按钮点击。主基地背包功能入口按钮点击
1005,,,Audio/UI_SFX/Paper1.wav,音效——按钮点击。主基地出战功能入口按钮点击
1006,,,Audio/UI_SFX/ReadytoBattle.wav,音效——按钮点击。战斗关卡中点击迎战按钮/出怪时播放一次
1007,,,Audio/UI_SFX/HPLoss.wav,战斗时漏怪损失HP播放一次
1008,,,Audio/Monster_SFX/BOSSIncoming.wav,当下一波次中有Boss时，完成当前波次防守后播放一次
1009,,,Audio/Ambient_SFX/MainScene_Ambient1.mp3,主基地场景的水流环境音效，和BGM一起循环播放
1010,,,Audio/Ambient_SFX/MainScene_Ambient2.mp3,主基地场景的鸟鸣环境音效，和BGM一起循环播放
1011,,,Audio/BGM/ActivityEvents_BGM.wav,活动界面BGM，打开活动界面时播放
1012,,,Audio/UI_SFX/General_ActivityButton.wav,通用活动界面功能入口按钮的点击音效
1014,,,Audio/UI_SFX/General_ClaimAll.wav,音效——一键领取按钮点击
1015,,,Audio/UI_SFX/General_Button_1.wav,音效——按钮点击。和1000一样，通用界面功能入口按钮的点击音效
1016,,,Audio/UI_SFX/General_Button_2.wav,音效——按钮点击。和1000一样，通用界面功能入口按钮的点击音效
1017,,,Audio/UI_SFX/General_ItemTap.wav,音效——物品点击。通用的物品点击音效，在点击物品时播放，例如背包中的物品
1018,,,Audio/UI_SFX/General_Switch.wav,音效——标签页点击切换
2000,,,Audio/BGM/LoginScene_BGM.wav,登录界面BGM，只在登录界面播放
2001,,,Audio/BGM/MainScene_BGM.wav,主基地BGM，除特殊标注外需要反复循环播放。
2002,,,Audio/BGM/BattlePreStart_BGM.wav,战斗波次开始前（词条抽取环节）播放的音乐
2003,,,Audio/BGM/BattleInProgress_BGM.wav,战斗波次开始时（点击开战圆钮）播放的音乐
2004,,,Audio/BGM/BattleScene_Victory.wav,战斗关卡展示胜利界面时的音乐
2005,,,Audio/BGM/BattleScene_Defeat.mp3,战斗关卡展示失败界面是的音乐
3000,,,Audio/Tower_SFX/BuildTower.wav,战斗关卡中建造防御塔时的音效
3001,,,Audio/Tower_SFX/RemoveTower.wav,战斗关卡中移除防御塔时的音效
3002,,,Audio/Tower_SFX/SZG/ShiZiGong_Fire.wav,十字弓开火音效，所有等级和子弹（包括宝石）通用
3003,,,Audio/Tower_SFX/SZG/ShiZiGong_Hit1.wav,十字弓命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3004,,,Audio/Tower_SFX/SZG/ShiZiGong_Hit2.wav,十字弓命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3005,,,Audio/Tower_SFX/TKZM/TianKongZhiMao_Fire.wav,天空之矛开火音效，所有等级和子弹（包括宝石）通用
3006,,,Audio/Tower_SFX/TKZM/TianKongZhiMao_Hit1.wav,天空之矛命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3007,,,Audio/Tower_SFX/TKZM/TianKongZhiMao_Hit2.wav,天空之矛命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3008,,,Audio/Tower_SFX/FBFSQ/FeiBiao_Fire.wav,飞镖发射器开火音效，所有等级和子弹（包括宝石）通用
3009,,,Audio/Tower_SFX/FBFSQ/FeiBiao_Hit1.wav,飞镖发射器命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3010,,,Audio/Tower_SFX/FBFSQ/FeiBiao_Hit2.wav,飞镖发射器命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3011,,,Audio/Tower_SFX/TouShiJi_Fire.wav,投石机开火音效，所有等级和子弹（包括宝石）通用
3012,,,Audio/Tower_SFX/TouShiJi_Hit1.wav,投石机命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3013,,,Audio/Tower_SFX/TouShiJi_Hit2.wav,投石机命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3014,,,Audio/Tower_SFX/HPT/HPT_Fire.wav,陨石火炮塔开火音效，所有等级和子弹（包括宝石）通用
3015,,,Audio/Tower_SFX/HPT/HPT_Hit1.wav,陨石火炮塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3016,,,Audio/Tower_SFX/HPT/HPT_Hit2.wav,陨石火炮塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3017,,,Audio/Tower_SFX/QiQiuZhaDan_Fire.wav,气球炸弹塔开火音效，所有等级和子弹（包括宝石）通用
3018,,,Audio/Tower_SFX/QiQiuZhaDan_Hit1.wav,气球炸弹塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3019,,,Audio/Tower_SFX/QiQiuZhaDan_Hit2.wav,气球炸弹塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3020,,,Audio/Tower_SFX/XDT/XianDanTa_Fire.wav,霰弹塔开火音效，所有等级和子弹（包括宝石）通用
3021,,,Audio/Tower_SFX/XDT/XianDanTa_Hit1.wav,霰弹塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3022,,,Audio/Tower_SFX/XDT/XianDanTa_Hit2.wav,霰弹塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3023,,,Audio/Tower_SFX/FKFD/FangKongFeiDan_Fire.wav,防空飞弹塔开火音效，所有等级和子弹（包括宝石）通用
3024,,,Audio/Tower_SFX/FKFD/FangKongFeiDan_Hit1.wav,防空飞弹塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3025,,,Audio/Tower_SFX/FKFD/FangKongFeiDan_Hit2.wav,防空飞弹塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3026,,,Audio/Tower_SFX/FKFD/FangKongFeiDan_Fire.wav,球形飞弹塔开火音效，所有等级和子弹（包括宝石）通用
3027,,,Audio/Tower_SFX/FKFD/FangKongFeiDan_Hit1.wav,球形飞弹塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3028,,,Audio/Tower_SFX/FKFD/FangKongFeiDan_Hit2.wav,球形飞弹塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3029,,,Audio/Tower_SFX/DCZD/ZhenDangTa_Fire.wav,电磁震荡塔放置在场上时的音效，需要循环播放。
3030,,,Audio/Tower_SFX/DCZD/ZhenDangTa_Hit1.wav,震荡塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3031,,,Audio/Tower_SFX/DCZD/ZhenDangTa_Hit2.wav,震荡塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
3032,,,Audio/Tower_SFX/BDT/BoDongTa_Fire.wav,波动塔开火音效，所有等级和子弹（包括宝石）通用
3033,,,Audio/Tower_SFX/BDT/BoDongTa_Hit1.wav,波动塔命中音效，所有等级和子弹（包括宝石）通用。每次命中时，两个音效中随机选择1个播放
