Buff表格,,,,,,
Both,,,,,,
ID,VariableName,VariableComment,Name,IsTrigger,DebuffGroupID,DeadCanTrigger
int,string,string,string,bool,int,bool
Both,None,None,Both,Both,Both,Both
唯一ID,生成的变量名,注释,buff名字,是否为触发器类型,debuff组的ID,死亡时是否也可以触发
,,,,,,
,,,,,,
,,,,,,
3,BuffPoison,中毒,中毒,0,2,0
4,BuffMoveSpeedDown,"百分比减速,固定百分比","百分比减速,固定百分比",0,2,0
5,BuffMoveSpeedDownByLevel,"百分比减速,根据宝石等级和塔等级计算","百分比减速,根据宝石等级和塔等级计算",0,2,0
6,BuffSkillRangeUp,"增加射程,固定百分比","增加射程,固定百分比",0,0,0
7,BuffStrickBack,"击退一定距离,单位为格子大小","击退一定距离,单位为格子大小",0,2,0
9,TriggerHit,命中时触发,命中时触发,1,0,0
11,BuffDisableSkill,不允许释放技能,不允许释放技能,0,0,0
12,TriggerHPUnderPercent,血量降低到一定时触发,血量降低到一定时触发,1,0,0
13,BuffMoveSpeedUp,"百分比加速,固定百分比","百分比加速,固定百分比",0,0,0
14,BuffFlyable,"具有飞天能力,可以使用飞行路线","具有飞天能力,可以使用飞行路线",0,0,0
15,BuffFlashForward,向前闪现一定距离,向前闪现一定距离,0,0,0
16,BuffSummonMonster,召唤怪物,召唤怪物,0,0,0
20,TriggerHPUnderPercentMulti,血量降低到一定时触发多个buff,血量降低到一定时触发多个buff,1,0,0
21,BuffDamageOnce,单次固定伤害,单次固定伤害,0,0,0
22,BuffHoldPosition,"禁锢,不允许移动","禁锢,不允许移动",0,2,0
26,BuffBuilding,塔建造中的状态,塔建造中的状态,0,0,0
27,BuffTypeTowerAttackUp,(已废弃)提升所有指定类型塔的攻击力,(已废弃)提升所有指定类型塔的攻击力,0,0,0
28,BuffVertigo,眩晕,眩晕,0,2,0
29,BuffHasTypeBuffIncreaseDamage,攻击拥有指定buff类型的敌人时伤害增加,攻击拥有指定buff类型的敌人时伤害增加,0,0,0
30,TriggerWillHit,即将命中时触发,即将命中时触发,1,0,0
31,BuffCriticalUp,暴击率增加,暴击率增加,0,0,0
32,BuffTypeTowerIncreaseSelfCritical,"场上指定类型的塔越多,自身增加的暴击率越多","场上指定类型的塔越多,自身增加的暴击率越多",0,0,0
33,BuffTypeTowerIncreaseSelfDamage,自己的暴击不可被闪避,自己的暴击不可被闪避,0,0,0
36,BuffBurn,"场上指定类型的塔越多,伤害增加越多","场上指定类型的塔越多,伤害增加越多",0,0,0
37,BuffFireImprint,火焰印记,火焰印记,0,0,0
41,BuffBeenFireDamageUp,受到的火属性伤害提升,受到的火属性伤害提升,0,1,0
42,BuffBeenDarkDamageUp,受到的暗属性伤害提升,受到的暗属性伤害提升,0,1,0
43,BuffBeenIceDamageUp,受到的冰属性伤害提升,受到的冰属性伤害提升,0,1,0
44,BuffBeenLightDamageUp,受到的光属性伤害提升,受到的光属性伤害提升,0,1,0
45,BuffBeenPoisonDamageUp,受到的毒属性伤害提升,受到的毒属性伤害提升,0,1,0
46,BuffBeenLightningDamageUp,受到的电属性伤害提升,受到的电属性伤害提升,0,1,0
47,BuffBeenFireDamageDown,受到的火属性伤害降低,受到的火属性伤害降低,0,1,0
48,BuffBeenDarkDamageDown,受到的暗属性伤害降低,受到的暗属性伤害降低,0,1,0
49,BuffBeenIceDamageDown,受到的冰属性伤害降低,受到的冰属性伤害降低,0,1,0
50,BuffBeenLightDamageDown,受到的光属性伤害降低,受到的光属性伤害降低,0,1,0
51,BuffBeenPoisonDamageDown,受到的毒属性伤害降低,受到的毒属性伤害降低,0,1,0
52,BuffBeenLightningDamageDown,受到的电属性伤害降低,受到的电属性伤害降低,0,1,0
53,BuffAttackUp,提升攻击力,提升攻击力,0,0,0
54,BuffAttackDown,降低攻击力,降低攻击力,0,2,0
55,TriggerDirectly,直接触发,直接触发,1,0,0
56,BuffBleeding,出血,出血,0,2,0
57,BuffTypeBuffIncreaseSelfAttack,"场上拥有指定状态的敌人越多,自身增加的攻击力越多","场上拥有指定状态的敌人越多,自身增加的攻击力越多",0,0,0
58,BuffTypeBuffIncreaseSelfAttackSpeed,"场上拥有指定状态的敌人越多,自身减少的攻击速度越多","场上拥有指定状态的敌人越多,自身减少的攻击速度越多",0,0,0
59,BuffRangeEnemyBurnToIncrease,范围内敌人身上的燃烧伤害由递减改为递增,范围内敌人身上的燃烧伤害由递减改为递增,0,0,0
61,BuffConfusion,"混乱,向路线的反方向移动","混乱,向路线的反方向移动",0,2,0
62,TriggerCritical,暴击时触发,暴击时触发,1,0,0
63,BuffAttackSpeedUp,增加攻速,增加攻速,0,0,0
65,BuffTransferBack,沿移动路径向后传送一定距离,沿移动路径向后传送一定距离,0,2,0
66,BuffRemoveTypeBuff,移除指定类型的buff,移除指定类型的buff,0,0,0
67,BuffBeenDamageDown,受到的伤害降低,受到的伤害降低,0,0,0
68,BuffBeenDamageUp,受到的伤害提升,受到的伤害提升,0,1,0
69,TriggerBuffToTypeBuffMonster,"范围内拥有指定buff的敌人会附加指定buff,敌人超出范围时,会移除buff","范围内拥有指定buff的敌人会附加指定buff,敌人超出范围时,会移除buff",1,0,0
70,TriggerBuffToInvisibleMonster,"范围内隐身的敌人会附加指定buff,敌人超出范围时,会移除buff","范围内隐身的敌人会附加指定buff,敌人超出范围时,会移除buff",1,0,0
71,BuffFloatToAir,浮空,浮空,0,2,0
73,TriggerTypeTowerOverCountBuffToSelf,"场上指定类型的塔超过一定数量时,会给自己附加指定buff,塔数量低于一定数量时会移除buff","场上指定类型的塔超过一定数量时,会给自己附加指定buff,塔数量低于一定数量时会移除buff",1,0,0
75,TriggerBuffToTypeTowerAndSelf,给自己和指定类型的塔附加buff,给自己和指定类型的塔附加buff,1,0,0
76,TriggerBuffToTypeTower,给指定类型的塔附加buff,给指定类型的塔附加buff,1,0,0
77,BuffBeenBurnDamageUp,受到的燃烧伤害提升,受到的燃烧伤害提升,0,1,0
78,BuffBeenPoisoningDamageUp,受到的中毒伤害提升,受到的中毒伤害提升,0,1,0
79,BuffBeenAllElementDamageDown,受到的所有元素属性伤害降低,受到的所有元素属性伤害降低,0,0,0
80,BuffSneak,潜行,潜行,0,0,0
81,BuffVertigoDecrease,降低被眩晕的概率和眩晕的时间,降低被眩晕的概率和眩晕的时间,0,0,0
82,TriggerWillDie,即将死亡时触发,即将死亡时触发,1,0,1
83,BuffAntiStrickBack,无法被击退,无法被击退,0,0,0
85,BuffDisarm,缴械,缴械,0,2,0
86,BuffAntiCriticalUp,暴击抗性提升,暴击抗性提升,0,0,0
87,BuffBeenShockedDamageUp,受到的感电伤害提升,受到的感电伤害提升,0,1,0
88,TriggerTypeMonsterDie,指定怪物死亡时触发,指定怪物死亡时触发,1,0,0
89,BuffSlowIncrease,受到的减速效果提升,受到的减速效果提升,0,1,0
91,BuffImmunityElementDebuffDamage,免疫所有元素伤害,免疫所有元素伤害,0,0,0
92,BuffClearDebuff,清除所有debuff,清除所有debuff,0,0,0
93,TriggerBuffToRangeMonsterOnce,"范围内所有怪物附加buff,只在进入状态时添加一次,并且不会主动移除","范围内所有怪物附加buff,只在进入状态时添加一次,并且不会主动移除",1,0,0
94,BuffRecoverHPPercentOnce,百分比恢复血量,百分比恢复血量,0,0,0
95,BuffEvasionUp,闪避率提升,闪避率提升,0,0,0
97,BuffForceChangeTarget,"强制改变防御塔和英雄的目标选择为指定目标,技能目标为对自己释放的除外","强制改变防御塔和英雄的目标选择为指定目标,技能目标为对自己释放的除外",0,0,0
98,BuffShocked,感电,感电,0,2,0
99,BuffFreeze,冰冻,冰冻,0,2,0
100,BuffParalysis,麻痹,麻痹,0,2,0
101,BuffMoveSpeedDownValue,"固定数值减速,减速到负数时,可以让怪物后退","固定数值减速,减速到负数时,可以让怪物后退",0,2,0
102,BuffPushMove,怪物在眩晕等无法移动的状态时，强制移动怪物位置,怪物在眩晕等无法移动的状态时，强制移动怪物位置,0,2,0
103,BuffMoveSpeedUpValue,固定数值加速,固定数值加速,0,0,0
104,BuffDamageOverTime,无属性持续伤害,无属性持续伤害,0,1,0
105,BuffMoveSpeedDownNoEffect,"百分比减速,固定百分比，无特效","百分比减速,固定百分比，无特效",0,2,0
106,BuffInTunnel,通过隧道时不可攻击状态,通过隧道时不可攻击状态,0,0,0
107,TriggerBuffToAllTower,"给所有防御塔附加buff,持续时间内新增的塔也会被附加buff","给所有防御塔附加buff,持续时间内新增的塔也会被附加buff",1,0,0
108,BuffDamageUp,伤害增加,伤害增加,0,0,0
109,BuffTowerExploRangeUp,增加子弹爆炸范围,增加子弹爆炸范围,0,0,0
110,BuffZhenDangTaBulletCountUp,增加电磁震荡塔能量球个数,增加电磁震荡塔能量球个数,0,0,0
111,BuffResetLastSkillCD,重置刚释放过的技能CD,重置刚释放过的技能CD,0,0,0
112,TriggerFireSkill,释放技能时触发,释放技能时触发,1,0,0
113,TriggerFireCountSkillHit,释放一定次数技能后的命中时触发,释放一定次数技能后的命中时触发,1,0,0
114,BuffRangeDamageOnce,造成一次范围攻击力百分比伤害,造成一次范围攻击力百分比伤害,0,0,0
115,TriggerFireCountSkillWillGenerateDamage,释放一定次数技能后的即将命中时触发,释放一定次数技能后的即将命中时触发,1,0,0
116,BuffAlwaysCriticalHit,攻击必定暴击,攻击必定暴击,0,0,0
117,BuffTypeTowerIncreaseSelfAttack,"场上指定类型的塔越多,自身增加的攻击力越多","场上指定类型的塔越多,自身增加的攻击力越多",0,0,0
118,BuffTypeTowerIncreaseSelfAttackSpeed,"场上指定类型的塔越多,自身增加的攻速越多","场上指定类型的塔越多,自身增加的攻速越多",0,0,0
119,BuffDamageUpBeforeWave,前一定波数伤害增加,前一定波数伤害增加,0,0,0
121,BuffIncreaseBulletCount,增加子弹数量,增加子弹数量,0,0,0
122,BuffAttackSpeedDown,降低攻速,降低攻速,0,2,0
123,BuffSkillRangeDown,射程降低,射程降低,0,2,0
