BuffDetail表格,,,,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,BuffTypeID,Name,Description,BuffTime,Param0,ParamDesc0,Param1,ParamDesc1,Param2,ParamDesc2,Param3,ParamDesc3,Param4,ParamDesc4,Param5,ParamDesc5,Param6,ParamDesc6,Param7,ParamDesc7
int,string,string,int,string,string,float,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
Both,None,None,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
唯一ID,生成的变量名,注释,"buff类型ID,索引到Buff表",buff名字,buff描述,"buff持续时间,-1表示无限,0表示只生效一帧,大于0表示持续时间,单位秒",参数0,参数描述0,参数1,参数描述1,参数2,参数描述2,参数3,参数描述3,参数4,参数描述4,参数5,参数描述5,参数6,参数描述6,参数7,参数描述7
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
33,,,14,"具有飞天能力,可以使用飞行路线",使用飞行路线进行寻路,-1,,,,,,,,,,,,,,,,
121,,,13,"百分比加速,固定百分比",怪物血量降低到50%以下时触发移动速度增加,2.5,2,提升的百分比,,,,,,,,,,,,,,
122,,,13,"百分比加速,固定百分比",怪物血量降低到25%以下时触发移动速度增加,2.5,2,提升的百分比,,,,,,,,,,,,,,
124,,,15,向前闪现一定距离,怪物血量降低到50%以下时向前闪现一定距离,0,2.5,"闪现距离,单位是格子大小",,,,,,,,,,,,,,
125,,,15,向前闪现一定距离,怪物血量降低到25%以下时向前闪现一定距离,0,2.5,"闪现距离,单位是格子大小",,,,,,,,,,,,,,
127,,,16,召唤怪物（法师狼专用）,召唤怪物ID#6-小灰狼-2只,0,6021,怪物ID,2,怪物数量,0.6,继承百分比,1,是否有位置偏移,999,生存时间,,,,,,
128,,,16,召唤怪物,怪物血量降低到25%以下时召唤怪物,0,6,怪物ID,1,怪物数量,0.3,继承百分比,1,是否有位置偏移,20,生存时间,,,,,,
1,,,9,命中敌人时触发,1级红宝石镶嵌到十字弓的效果,-1,2,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
2,,,36,伤害递减的燃烧伤害,1级红宝石镶嵌到十字弓的效果,-1,5,叠加的燃烧伤害值固定值,0,"叠加的燃烧伤害值百分比,塔攻击力的百分比",1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
3,,,9,命中敌人时触发,1级红宝石镶嵌到防空飞弹塔的效果,-1,4,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
4,,,36,伤害递减的燃烧伤害,1级红宝石镶嵌到防空飞弹塔的效果,-1,5,叠加的燃烧伤害值固定值,0,"叠加的燃烧伤害值百分比,塔攻击力的百分比",1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
524,,,9,命中敌人时触发,1级红宝石镶嵌到飞镖发射器的效果,-1,525,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
525,,,36,伤害递减的燃烧伤害,1级红宝石镶嵌到飞镖发射器的效果,-1,5,叠加的燃烧伤害值固定值,0,"叠加的燃烧伤害值百分比,塔攻击力的百分比",1,伤害间隔,0.7,"递减比例,首次附加时有效",2036,特效ID,,,,,,
5,,,9,命中敌人时触发,1级红宝石镶嵌到投石机的效果,-1,6,BuffID,0,最大叠加次数,1,是否附加给被命中目标,0,触发CD,10000,触发万分比,,,,,,
