CardPoolConfig表格,,,,,,,,
Both,,,,,,,,
ID,VariableName,VariableComment,ItemID,ItemType,ItemWeight,MustItemID,MustItemType,UseAddTowerTalent
int,string,string,Vector<int>,Vector<BATTLE_ITEM_TYPE(byte)>,Vector<int>,Vector<int>,Vector<BATTLE_ITEM_TYPE(byte)>,bool
Both,None,None,Both,Both,Both,Both,Both,Both
唯一ID,生成的变量名,注释,物品id,"物品类型BATTLE_ITEM_TYPE,1塔,2道具,3天赋",物品权重,必出物品id,"必出物品类型,1塔,2道具",是否自动添加防御塔上阵词条(肉鸽模式生效)
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,,,"1,2,7,8,17,18,3,4,15,16,13,14,5,6,21,22,23,24,19,20","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100",,,1
21,,,"25,26,27,28,29,77,30,31,32,76,33,34,69,53,70,54,71","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100",,,1
22,,,"42,43,78,84,44,45,64,48,65,66,67,49,50,51,52,68","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100",,,1
23,,,"79,59,80,81,82,83,60,61,73,74,75,55,56,57,58,72","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100",,,1
24,,,"25,26,27,28,29,77,30,31,32,76,33,34,69,53,70,54,71,42,43,78,84,44,45,64,48,65,66,67,49,50,51,52,68","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100",,,1
25,,,"42,43,78,84,44,45,64,48,65,66,67,49,50,51,52,68,79,59,80,81,82,83,60,61,73,74,75,55,56,57,58,72","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150",,,1
26,,,"25,26,27,28,29,77,30,31,32,76,33,34,69,53,70,54,71,42,43,78,84,44,45,64,48,65,66,67,49,50,51,52,68,79,59,80,81,82,83,60,61,73,74,75,55,56,57,58,72","3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150",,,1
