Effect表格,,,,
Both,,,,
ID,VariableName,VariableComment,Path,SupportMoveToHide
int,string,string,string,bool
Both,None,None,Both,Both
唯一ID,生成的变量名,注释,"特效在GameResources下的相对路径,带后缀",是否支持将特效移动到远处来实现隐藏
,,,,
,,,,
,,,,
1,,,Effect_Legacy/ArrowTower_Bullet.prefab,1
2,,,Effect_Legacy/MultiShot_Bullet.prefab,1
3,,,Effect_Legacy/Mortar_Bullet.prefab,1
4,,,Effect_Legacy/ArrowTower_Muzzle.prefab,1
5,,,Effect_Legacy/MultiShot_Muzzle.prefab,1
6,,,Effect_Legacy/Mortar_Muzzle.prefab,1
7,,,Effect_Legacy/ArrowTower_Hit.prefab,1
8,,,Effect_Legacy/MultiShot_Hit.prefab,1
9,,,Effect_Legacy/Mortar_Hit.prefab,1
10,,,Effect_Legacy/ArrowTower_Bullet_Blue.prefab,1
11,,,Effect_Legacy/ArrowTower_Bullet_Green.prefab,1
12,,,Effect_Legacy/ArrowTower_Bullet_Purple.prefab,1
13,,,Effect_Legacy/ArrowTower_Bullet_Red.prefab,1
14,,,Effect_Legacy/Hit_Blue.prefab,1
15,,,Effect_Legacy/Hit_Green.prefab,1
16,,,Effect_Legacy/Hit_Purple.prefab,1
17,,,Effect_Legacy/Hit_Red.prefab,1
18,,,Effect_Legacy/Common_Muzzle_Blue.prefab,1
19,,,Effect_Legacy/Common_Muzzle_Green.prefab,1
20,,,Effect_Legacy/Common_Muzzle_Purple.prefab,1
21,,,Effect_Legacy/Common_Muzzle_Red.prefab,1
22,,,Effect_Legacy/MagicTower_Bullet_Blue.prefab,1
23,,,Effect_Legacy/MagicTower_Bullet_Green.prefab,1
24,,,Effect_Legacy/MagicTower_Bullet_Purple.prefab,1
25,,,Effect_Legacy/MagicTower_Bullet_Red.prefab,1
26,,,Effect_Legacy/MagicTower_Hit_Blue.prefab,1
27,,,Effect_Legacy/MagicTower_Hit_Green.prefab,1
28,,,Effect_Legacy/MagicTower_Hit_Purple.prefab,1
29,,,Effect_Legacy/MagicTower_Hit_Red.prefab,1
30,,,Effect_Legacy/MagicTower_Idle_Blue.prefab,1
31,,,Effect_Legacy/MagicTower_Idle_Green.prefab,1
32,,,Effect_Legacy/MagicTower_Idle_Purple.prefab,1
33,,,Effect_Legacy/MagicTower_Idle_Red.prefab,1
34,,,Effect_Legacy/MagicTower_Muzzle_Blue.prefab,1
35,,,Effect_Legacy/MagicTower_Muzzle_Green.prefab,1
36,,,Effect_Legacy/MagicTower_Muzzle_Purple.prefab,1
37,,,Effect_Legacy/MagicTower_Muzzle_Red.prefab,1
38,,,Effect_Legacy/Mortar_Bullet_Blue.prefab,1
39,,,Effect_Legacy/Mortar_Bullet_Green.prefab,1
40,,,Effect_Legacy/Mortar_Bullet_Purple.prefab,1
41,,,Effect_Legacy/Mortar_Bullet_Red.prefab,1
42,,,Effect_Legacy/Mortar_Hit_Blue.prefab,1
43,,,Effect_Legacy/Mortar_Hit_Green.prefab,1
44,,,Effect_Legacy/Mortar_Hit_Purple.prefab,1
45,,,Effect_Legacy/Mortar_Hit_Red.prefab,1
46,,,Effect_Legacy/MultiShot_Bullet_Blue.prefab,1
47,,,Effect_Legacy/MultiShot_Bullet_Green.prefab,1
48,,,Effect_Legacy/MultiShot_Bullet_Purple.prefab,1
49,,,Effect_Legacy/MultiShot_Bullet_Red.prefab,1
50,,,Effect_Legacy/LineEffect.prefab,1
51,,,Effect_Legacy/Explosion0.prefab,1
52,,,Effect_Legacy/Meteor.prefab,1
53,,,Effect_Legacy/Arrow.prefab,1
54,,,Tower/ZhenDangTa_Effect/HuoPaoExplosionAreaMoveSpeedDown.prefab,1
1001,,,Effect/Monster/P_FX_baozha.prefab,1
1002,,,Effect/Monster/P_FX_Mons_Skill_ChaoFeng.prefab,1
1003,,,Effect/Monster/P_FX_chongsheng.prefab,1
1004,,,Effect/Monster/P_FX_fenshen.prefab,1
1005,,,Effect/Monster/P_FX_hudun.prefab,1
1006,,,Effect/Monster/P_FX_kongjiang.prefab,1
1007,,,Effect/Monster/P_FX_Mons_Skill_KuangBen.prefab,1
1008,,,Effect/Monster/P_FX_Mons_Skill_QunLiao.prefab,1
1009,,,Effect/Monster/P_FX_Mons_Skill_ShanShuo.prefab,1
1010,,,Effect/Monster/P_FX_wuyun.prefab,1
1011,,,Effect/Monster/P_FX_yingshen.prefab,1
1012,,,Effect/Monster/P_FX_Mons_Skill_ZhaoHuan_L1.prefab,1
1013,,,Effect/Monster/P_FX_zhuanshen.prefab,1
1014,,,Effect/Monster/P_FX_chaofeng1.prefab,1
1015,,,Effect/Monster/P_FX_duochongfenshen.prefab,1
1016,,,Effect/Monster/P_FX_Mons_Skill_FenShenShu.prefab,1
1017,,,Effect/Monster/P_FX_Mons_Skill_ZhaoHuan_L2.prefab,1
1018,,,Effect/Monster/P_FX_Mons_Skill_LingHuo.prefab,1
1019,,,Effect/Monster/P_FX_ruodianfangyu.prefab,1
1020,,,Effect/Monster/P_FX_Mons_Skill_TouDan.prefab,1
1021,,,Effect/Monster/P_FX_Mons_Skill_TuXiBuDui.prefab,1
1022,,,Effect/Monster/P_FX_Mons_Skill_WeiYan.prefab,1
