GridPrefab表格,,,,,,
Both,,,,,,
ID,VariableName,VariableComment,GridState,Theme,Prefab,Material
int,string,string,GRID_STATE(byte),int,string,string
Both,None,None,Both,Both,Both,Both
唯一ID,生成的变量名,注释,格子类型,风格主题，对应MapConfig里同名参数,"Prefab路径,相对于GameResources","Material, 相对于GameResources"
,,,,,,
,,,,,,
,,,,,,
101,,,1,0,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_7.mat
102,,,1,0,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_8.mat
201,,,2,0,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
202,,,2,0,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_2.mat
203,,,2,0,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_3.mat
204,,,2,0,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_4.mat
205,,,2,0,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_5.mat
206,,,2,0,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_6.mat
301,,,3,0,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
401,,,4,0,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
601,,,6,0,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_CanWalk_NoTower.mat
701,,,7,0,Scene/BattleCommon/Prefab/P_Grid_NoWalk_CanTower.prefab,Scene/BattleCommon/Material_Texture/M_Grid_NoWalk_CanTower.mat
801,,,8,0,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
111,,,1,1,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_7.mat
112,,,1,1,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_8.mat
211,,,2,1,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_Grass_Normal_1.mat
611,,,6,1,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_Grass_Bridge_1.mat
711,,,7,1,Scene/BattleCommon/Prefab/P_Grid_NoWalk_CanTower.prefab,Scene/BattleCommon/Material_Texture/M_Grid_Grass_Normal_1.mat
811,,,8,1,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
121,,,1,2,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_7.mat
122,,,1,2,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_8.mat
221,,,2,2,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
222,,,2,2,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_2.mat
223,,,2,2,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_3.mat
224,,,2,2,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_4.mat
225,,,2,2,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_5.mat
421,,,4,2,Scene/BattleCommon/Prefab/B_Grid.prefab,Scene/BattleCommon/Material_Texture/M_Grid_1.mat
