Guide表格,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,Type,GroupID,FallbackID,DeactiveInputAtFinish,Tip,TipLocID,TipPosition,NPCPosition,TalkBackground,TalkPosition,NeedClickTalk,NPCTalk,NPCTalkLocID,ClickStyle,Param0,Param1,Param2
int,string,string,int,int,int,bool,string,int,int,int,int,int,bool,string,int,int,string,string,string
Both,None,None,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
唯一ID,生成的变量名,注释,类型,引导组ID,引导中断时的回溯步骤ID,完成此步骤后是否禁用输入检测,提示文字,提示文字多语言ID,提示文字的位置,NPC的位置,对话框背景样式,对话框位置,是否需要点击对话,NPC说的话,NPC说的话多语言ID,点击提示手指的样式,参数0,参数1,参数2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,,,1,1,0,1,,0,0,0,0,0,0,,0,0,102,,
2,,,3,1,0,1,,0,0,1,2,3,1,"自从天外(陨石坠落)到这个世界,森林里很多原本善良的居民被陨石携带的(病毒感染),失去心智的他们开始攻击附近的村庄.",18125,0,,,
3,,,3,1,0,1,,0,0,1,2,3,1,你所在的村庄如今已被失心者包围，外围的布防只能抵挡他们一波攻势，下一波进攻很快就到，别傻站着，快来帮忙（构建防御！）,18100,0,,,
4,,,9,1,0,1,战斗前及每回合结束后，都有可能抽取到已解锁的防御塔，拿取后可在本局对战中使用。,18154,1,0,0,0,0,,0,0,,,
5,,,6,1,0,1,点击选择第一个词条,0,0,2,2,3,0,拿取防御塔-【飞镖发射器】,18155,2,0,,
6,,,30,1,0,1,点击防御塔-【飞镖发射器】,18134,2,0,0,0,0,,0,2,13,,
7,,,3,1,0,1,,0,0,2,2,3,1,"【飞镖发射器】可以攻击（近距离地面目标）,试试它的威力.",18112,0,,,
8,,,4,1,0,1,将【飞镖发射器】（拖拽放置）到地面的（目标格位）,18008,1,0,0,0,0,,0,4,13,2,
9,,,3,1,0,1,,0,0,2,2,3,1,(木制地砖)承受不住防御塔的重量而无法放置，它会成为敌人移动的主要路线，多加注意！,18126,0,,,
10,,,5,1,0,1,吹响【号角】，开启战斗！,18001,2,0,0,0,0,,0,2,,,
11,,,9,1,0,1,拿取（战斗词条）可以使对应（防御塔的战斗能力提升.）,18127,1,0,0,0,0,,0,0,,,
12,,,6,1,0,1,点击选择任意一个词条,18007,2,0,0,0,0,,0,0,-1,,
13,,,7,1,0,1,点击查看词条背包,18003,0,1,2,3,0,拿取到的词条会进入词条背包，点击这里进行查看。,18102,2,,,
14,,,8,1,0,1,点击任意空白区域，关闭词条背包,18004,2,0,0,0,0,,0,0,,,
15,,,3,1,0,1,,0,0,1,2,3,1,根据前方哨兵的侦察，我们推演出下一次受袭的时间，在这期间我们要做好布防.,18104,0,,,
16,,,3,1,0,1,,0,0,2,2,3,1,"地图上已推演出敌人的(行进路线),(在路线上布置防御塔,能使敌人绕的更远,争取更多作战时间).",18106,0,,,
17,,,4,1,0,1,将【飞镖发射器】（拖拽放置）到地面的（目标格位）,18008,1,0,0,0,0,,0,4,13,9,
18,,,3,1,0,1,,0,0,2,2,3,1,看样子你已经准备好，（“吹响号角”），（敌人）会（提前到达），这将是你的成名之战！,18128,0,,,
19,,,5,1,0,1,吹响【号角】，开启战斗！,18001,2,0,0,0,0,,0,2,,,
20,,,6,1,0,1,拿取防御塔-【十字弓】,18156,2,0,0,0,0,,0,0,-1,,
21,,,3,1,0,1,,0,0,2,2,3,1,哨兵发现的敌人都会记录在这，了解他们会帮助你做出布防决策。,18129,0,,,
22,,,34,1,0,1,点击敌方头像,18135,2,0,0,0,0,,0,2,,,
23,,,35,1,0,1,点击当前波次敌人头像查看,18136,2,0,0,0,0,,0,2,2,,
24,,,3,1,0,1,,0,0,2,2,3,1,敌人的(飞行侦察兵)向我们飞来，快部署(防空塔)击落他！,18130,0,,,
25,,,36,1,0,1,点击界面关闭按钮,18137,2,0,0,0,0,,0,2,,,
26,,,30,1,0,1,点击防御塔-【十字弓】,18138,2,0,0,0,0,,0,2,1,,
27,,,3,1,0,1,,0,0,2,2,3,1,"【十字弓】可以攻击(近距离空中目标),试试它的威力.",18131,0,,,
28,,,4,1,0,1,将【十字弓】（拖拽放置）到地面的（目标格位）,18005,1,0,0,0,0,,0,4,1,18,
29,,,4,1,0,1,再放置一座【十字弓】到地面的（目标格位）,18006,1,0,0,0,0,,0,4,1,11,
30,,,5,1,0,1,吹响【号角】，开启战斗！,18001,2,0,0,0,0,,0,2,,,
31,,,6,1,0,1,点击选择任意一个词条,18007,2,0,0,0,0,,0,0,-1,,
32,,,3,1,0,1,,0,0,2,2,3,1,发现敌方(精英)和他的(飞行小队），（精英）会在（低血量）时（释放暗黑技能），快增加布防！,18132,0,,,
33,,,4,1,0,1,将【飞镖发射器】（拖拽放置）到地面的（目标格位）,18008,1,0,0,0,0,,0,4,13,3,
34,,,4,1,0,1,再放置一座【十字弓】到地面的（目标格位）,18006,1,0,0,0,0,,0,4,1,19,
35,,,3,1,0,1,,0,0,2,2,3,1,是时候迎头痛击他们了，吹响号角！,18133,0,,,
36,,,5,1,0,1,吹响【号角】，开启战斗！,18001,2,0,0,0,0,,0,2,,,
37,,,28,1,0,1,,0,0,1,2,3,1,漂亮的作战！去获取你的战利品吧，说不定会有惊喜！,18147,0,,,
