Localization表格,,,,,
Both,,,,,
ID,VariableName,VariableComment,Chinese,ChineseTraditional,English
int,string,string,string,string,string
Both,None,None,Both,Both,Both
唯一ID,生成的变量名,注释,简体中文,繁体中文,英文
,,,,,
,,,,,
,,,,,
10000,,,排行榜,排行榜,Rank
10001,,,背包,背包,Item
10002,,,声望,聲望,Milestone
10003,,,防线,防綫,Fortress
10004,,,丰碑,丰碑,Monument
10005,,,竞技场,競技場,Arena
10006,,,矿场,礦場,Mine
10007,,,免费奖励,免費獎勵,Free Rewards
10008,,,泉水祈福,泉水祈福,Fountain
10009,,,任务,任務,Quest
10010,,,商城,商城,Shop
10011,,,商店,商店,Shop
10012,,,通行证,通行證,Battle Pass
10013,,,研究所,研究所,Research
10014,,,佣兵酒馆,傭兵酒館,Tavern
10015,,,邮箱,郵箱,Mail
10016,,,地图编辑器,地圖編輯器,Map Editor
10017,,,冒险,冒險,Campaign
10018,,,无尽深渊,無盡深淵,Endless Abyss
10019,,,活动,活動,Events
10020,,,首充,首充,"Beginner's
Bundle"
10021,,,好友,好友,Friends
10022,,,聊天,聊天,Chat
10023,,,我的佣兵,我的傭兵,Guardian
10024,,,公告,公告,Notice
11000,,,全部,全部,All
11001,,,收集,收集,Collectible
11002,,,宝石,寶石,Gem
11003,,,宝箱,寶箱,Chest
11004,,,机关,機關,Utillities
11005,,,珍宝,珍寶,Treasure
11006,,,关卡信息,關卡信息,INFO
11007,,,关卡BOSS,關卡BOSS,BOSS
11008,,,关卡怪物,關卡怪物,Enemy
11009,,,血量,血量,Health
11010,,,移动速度,移動速度,Speed
11011,,,防御力,防禦力,Defense
12000,,,{0}小时,{0}小時,{0} hours
12001,,,放弃挖掘,放棄挖掘,Abandon
12002,,,概率为:{0}%,概率為{0}%,Mining rate {0}%
12003,,,概率为{0}%,概率為{0},Mining rate {0}%
12004,,,派遣,派遣,Deploy
12005,,,矿场正在挖掘中:,礦場正在挖掘中:,In opreation:
12006,,,派遣中,派遣中,On duty
12007,,,上阵,上陣,Deploy
12008,,,是否取消本次挖矿？,是否放棄挖掘？,Abandon Mining？
12009,,,佣兵,傭兵,Guardian
12010,,,小时,小時,hour
12011,,,预计收获,預計收穫,Estimated Rewards
12012,,,派遣时长越长，获得道具越多,派遣時間越長，獲得的道具越多,Longer missions yield greater rewards.
12013,,,"挖矿中,不能再次派遣","挖礦中,不能再次派遣",Already On Duty
12014,,,挖矿中,挖礦中,Already On Duty
12015,,,开始探险,開始探險,Start
12016,,,取消探险,取消探险,Stop
13000,,,普通模式通关{0}关卡,普通模式通過{0}關卡,Complete Level {0}
13001,,,消耗{0}点{1},消耗{0}個{1},Consume {0} {1}
13002,,,使用佣兵游玩{0}次关卡,使用傭兵遊玩{0}次關卡,Use Gaurdians to play {0} Levels
13003,,,获得{0}个{1},獲得{0}個{1},Get {0} {1}
13004,,,佣兵招募{0}次,傭兵招募{0}次,Recruit Guardians {0} times
13005,,,商城购物{0}次,商城購物{0}次,Purchase items {0} times in Shop
13006,,,在喷泉进行{0}次祈福,在噴泉進行{0}次祈福,Bless {0} times in Fountain
13007,,,消灭{0}只{1},消滅{0}隻{1},Defeat {0} {1}
13008,,,进行{0}次防线保卫,進行{0}次防線保衛,Defend Fortress {0} times
13009,,,升级{0}次佣兵,升級{0}次傭兵,Level up Guardians {0} times
13010,,,{0}名佣兵达到{1}级,{0}名傭兵達到{1}級,{0} Guardians reach Level {1}
13011,,,{0}名佣兵达到{1}星,{0}名傭兵達到{1}星,{0} Guardians reach {1} star
13012,,,在{0}模式下完成{1}关卡,在{0}模式下完成{1}關卡,Complete {1} levels in {0} Mode
13013,,,在研究所中升级{0}次{1},在研究所中升級{0}次{1},Level up {1} {0} times in Research
13014,,,{0}的研究等级达到{1}级,{0}的研究等級達到{1}級,{0} research level reaches {1}
13015,,,喷泉祈福等级达到{0}级,噴泉祈福等級達到{0}級,Fountain Blessing Level reaches {0}
13016,,,经典模式通关{0}关卡,經典模式通過{0}關卡,Complete Level {0}
13017,,,通关关卡{0},通關關卡{0},Complete Level {0}
13018,,,在佣兵酒馆进行{0}次新手抽卡,在傭兵酒館進行{0}次新手抽卡,Recruit {0} times in Tavern (Beginner)
13019,,,领取丛林1-2奖励，激活焰角弗雷明,領取叢林1-2獎勵，激活焰角弗雷明,Unlock Flemming with Jungle 1-2 Rewards
13020,,,领取丛林1-7奖励，激活狼舞者玲儿,領取叢林1-7獎勵，激活狼舞者玲兒,Unlock Linger with Jungle 1-7 Rewards
13021,,,出战佣兵进行{0}次关卡,出戰傭兵進行{0}次關卡,Deploy Gaurdians {0} times
13022,,,通关第一章{0},通關第一章{0},Complete Chapter 1 {0}
13023,,,进行{0}波防线防守,進行{0}波防線防守,Defend {0} Waves in Fortress
13024,,,通关第二章{0},通關第二章{0},Complete Chapter 2 {0}
13025,,,{0}个防御塔研究达到{1}级,{0}個防禦塔研究達到{1}級,{0} towers research levels reach Lv{1}
13026,,,进行{0}次矿洞探险,進行{0}次礦洞探險,Deploy Guardians {0} times in the Mine
13027,,,缺省任务2,抽卡{0}次,Recruit {0} times
13028,,,缺省任务3,獲得{0}個{1}級寶石,Gain {0} level {1} gem
13029,,,缺省任务4,派遣傭兵{0}次,Dispatch the Guardian {0} times
13030,,,缺省任务5,商城購買{0}次商品,Purchases {0} times in the Shop
13031,,,缺省任务6,挑戰,Fight
13032,,,缺省任务7,通關{0}關卡,Clear level {0}
13033,,,缺省任务8,消耗{0}個{1},Consume {0} {1}
13034,,,缺省任务9,消滅{0}波防線怪物,Eliminate {0} wave of enemies in the Fortress
13035,,,缺省任务10,{0}關卡通關第{1}波,Eliminate wave {1} in {0} level
13036,,,缺省任务11,傭兵派遣{0}次,Deploy Guardians {0} times
13900,,,主线,主綫,Main Quests
13901,,,任务数量,任務數量,Number of Quests
13902,,,日常,日常,Daily Quests
13903,,,已领取,已領取,Claimed
