MapPortal表格,,,,,,
Both,,,,,,
ID,VariableName,VariableComment,Map,Start,EndRule,EndList
int,string,string,int,int,PORTAL_RULE(byte),Vector<int>
Both,None,None,Both,Both,Both,Both
唯一ID,生成的变量名,注释,所属地图Excel MapConfig,起点,终点选择方式,终点列表
,,,,,,
,,,,,,
,,,,,,
1,,,19,58,1,"73,130"
2,,,20,69,2,"18,113"
3,,,21,93,2,"138,58,63"
4,,,21,139,2,"138,58,63"
5,,,21,8,2,"138,58,63"
6,,,26,101,2,41
7,,,27,4,2,47
8,,,27,10,2,47
9,,,27,103,2,47
10,,,29,5,2,7
11,,,40,58,2,"80,86"
12,,,40,84,2,"80,86"
13,,,56,91,2,"99,56"
14,,,56,134,2,"99,56"
15,,,56,10,2,"99,56"
16,,,56,38,2,"99,56"
17,,,99,65,2,"84,113"
18,,,99,37,2,"84,113"
