Monster表格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,Name,Prefab,Icon,Description,Strength,Defence,HP,Speed,TypeIcon,Skill,DefaultBuff,Population,Score,DropBox,WaveExp,HurtHp,AntiFire,AntiIce,AntiDark,AntiLight,AntiPoison,AntiLightning,Evasion,AntiPenetrating,HpStar,SpeedStar,DefenceStar,BornTalk,BornTalkProbability,DyingTalk,DyingTalkProbability,DieAnimationLength
int,string,string,string,string,string,string,MONSTER_STRENGTH(byte),int,int,float,string,Vector<int>,Vector<int>,int,int,int,Vector<string>,int,float,float,float,float,float,float,float,int,int,int,int,int,int,int,int,float
Both,None,None,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
唯一ID,生成的变量名,注释,怪物名称,"GameResources下的相对路径,带后缀",怪物头像,怪物简介,怪物类型,怪物防御,怪物血量,怪物移动速度,类型图标,怪物技能,"buff列表,索引到BuffDetail表",人口,怪物分数,掉落宝箱,"怪物不同波次击败后的得分，""5|3,10|7""代表1-5波得3分，6-10波得7分",怪物到达终点时减少玩家的血量,火属性抗性,冰属性抗性,暗属性抗性,光属性抗性,毒属性抗性,电属性抗性,闪避率,穿透抵抗值,血量星级,速度星级,防御力星级,出场怪物语言,说话概率（万分比）,低血量怪物语言,说话概率（万分比）,死亡动作时长
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Localization,,Localization,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Path:NotAllowSpace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,冲锋野猪,Monster/YeZhu/P_Yezhu.prefab,YeZhu,是个活力四射、好动的家伙，喜欢迅速穿梭在敌人之间，试图绕过防御来对羊村造成伤害。,1,0,1080,1.6,ShieldSign,1,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,3,5,1,39052,100,39027,50,1.5
1001,,,冲锋野猪,Monster/YeZhu/P_Yezhu.prefab,YeZhu,是个活力四射、好动的家伙，喜欢迅速穿梭在敌人之间，试图绕过防御来对羊村造成伤害。,1,0,800,1.2,ShieldSign,1,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,3,5,1,39052,100,39027,50,1.5
102,,,冲锋野猪,Monster/YeZhu/P_Yezhu.prefab,YeZhu,是个活力四射、好动的家伙，喜欢迅速穿梭在敌人之间，试图绕过防御来对羊村造成伤害。,1,0,2160,1.6,ShieldSign,1,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,3,5,1,39052,100,39027,50,1.5
103,,,冲锋野猪,Monster/YeZhu/P_Yezhu.prefab,YeZhu,是个活力四射、好动的家伙，喜欢迅速穿梭在敌人之间，试图绕过防御来对羊村造成伤害。,1,0,3000,1.6,ShieldSign,1,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,3,5,1,39052,100,39027,50,1.5
2,,,飞天狼,Monster/Monster1/P_feitianlang.prefab,FeiTianLang,靠着一顶带螺旋桨的帽子成为了狼族中最早的一批空军。,1,0,180,2.1,FLightSign,2,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,2,2,1,39051,100,39026,50,1.5
202,,,飞天狼,Monster/Monster1/P_feitianlang.prefab,FeiTianLang,靠着一顶带螺旋桨的帽子成为了狼族中最早的一批空军。,1,0,360,2.1,FLightSign,2,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,2,2,1,39051,100,39026,50,1.5
203,,,飞天狼,Monster/Monster1/P_feitianlang.prefab,FeiTianLang,靠着一顶带螺旋桨的帽子成为了狼族中最早的一批空军。,1,0,560,2.1,FLightSign,2,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,2,2,1,39051,100,39026,50,1.5
3,,,法师狼,Monster/FaShLang/P_FaShiLang.prefab,NvWuLang,专精召唤法术。,1,0,1440,1.3,,4,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,3,2,1,39050,100,39025,50,1.5
4,,,闪现狼,Monster/RenZheLang/P_RenZheLang.prefab,RenZheLang,自诩为狼村的金色闪光。,1,0,1440,3,SpeedSign,3,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,2,4,1,39049,100,39024,50,1.5
403,,,闪现狼,Monster/RenZheLang/P_RenZheLang.prefab,RenZheLang,自诩为狼村的金色闪光。,1,0,3000,3,SpeedSign,3,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,2,4,1,39049,100,39024,50,1.5
5,,,沙漠狼,Monster/ShaMoLang/P_ShaMoLang.prefab,ShaMoLang,沙漠中的强盗。,1,0,810,4,,,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,2,2,1,39048,100,39023,50,1.5
5021,,,沙漠狼-装甲运狼车,Monster/ShaMoLang/P_ShaMoLang.prefab,ShaMoLang,沙漠中的强盗。,1,0,810,4,,,,0,0,0,"5|0,10|0,10|0,15|0,20|0,99|0",1,0,0,0,0,0,0,0,100,2,2,1,39048,100,39023,50,1.5
503,,,沙漠狼,Monster/ShaMoLang/P_ShaMoLang.prefab,ShaMoLang,沙漠中的强盗。,1,0,1440,4,,,,1,0,0,"5|0,10|0,10|0,15|0,20|0,99|0",1,0,0,0,0,0,0,0,100,2,2,1,39048,100,39023,50,1.5
6,,,小灰狼,Monster/XiaoHuiLang/P_XiaoHuiLang.prefab,XiaoHuiLang,跑得很快的幼狼。,1,0,180,2.5,SpeedSign,5,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,1,3,1,39047,100,39022,50,1.5
602,,,小灰狼,Monster/XiaoHuiLang/P_XiaoHuiLang.prefab,XiaoHuiLang,跑得很快的幼狼。,1,0,810,2.5,SpeedSign,5,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,1,3,1,39047,100,39022,50,1.5
6021,,,小灰狼,Monster/XiaoHuiLang/P_XiaoHuiLang.prefab,XiaoHuiLang,跑得很快的幼狼。,1,0,810,2.5,SpeedSign,5,,0,0,0,"5|0,10|0,10|0,15|0,20|0,99|0",1,0,0,0,0,0,0,0,100,1,3,1,39047,100,39022,50,1.5
7,,,大灰狼,Monster/DaHuiLang/P_DaHuiLang.prefab,DaHuiLang,森林中随处可见的狼。,1,0,360,2,,6,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,2,2,1,39048,100,39023,50,1.5
702,,,大灰狼,Monster/DaHuiLang/P_DaHuiLang.prefab,DaHuiLang,森林中随处可见的狼。,1,0,1080,2,,6,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,2,2,1,39048,100,39023,50,1.5
8,,,困狼,Monster/MengYouLang/P_MengYouLang.prefab,KunLang,非常嗜睡，反射弧很长。,1,0,1300,1.3,ShieldSign,7,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,3,2,1,39046,100,39021,50,0
1008,,,困狼,Monster/MengYouLang/P_MengYouLang.prefab,KunLang,非常嗜睡，反射弧很长。,1,0,1080,1.3,ShieldSign,7,,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,3,2,1,39046,100,39021,50,0
9,,,变色龙(无资源),Monster/DaHuiLang/P_DaHuiLang.prefab,DaHuiLang,潜行高手，狼忍村侦察兵。,1,0,248,1,SpeedSign,"8,9",,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,2,3,1,39045,100,39020,50,0
10,,,分身狼,Monster/RenZheLang_FenShen/P_RenZheLang.prefab,RenZheLang,善于使用分身术来迷惑敌人。,2,0,6000,1,,"10,43",,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,3,3,2,39044,100,39019,50,1.5
11,,,金刚狼,Monster/JinGangLang/P_JinGangLang.prefab,JinGangLang,拥有极高的血量和耐久力，对高温和寒冷都有较好的抵抗能力。,2,0,3200,1.4,ShieldSign,"11,12",,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,4,1,2,39043,100,39018,50,1.5
12,,,装甲运狼车,Monster/YunLangChe/P_YunLangChe.prefab,YunLangChe,狼群的秘密武器，一旦“爆胎”，立马变身“狼窝出击站”。,2,0,3200,0.9,ShieldSign,"13,14",,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,3,2,3,39042,100,39017,50,0
1203,,,装甲运狼车,Monster/YunLangChe/P_YunLangChe.prefab,YunLangChe,狼群的秘密武器，一旦“爆胎”，立马变身“狼窝出击站”。,2,0,6000,0.9,ShieldSign,"13,14",,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,3,2,3,39042,100,39017,50,0
13,,,自爆狼,Monster/ZiBaoLang/P_ZiBaoLang.prefab,ZiBaoLang,“砰”的一声，周围防御塔就变成了昂贵的摆设！,2,0,2400,1.4,,"15,16",,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,2,2,2,39041,100,39016,50,5
14,,,女巫狼,Monster/WuNvLang/P_WuNvLang.prefab,WuNvLang,会使用法力为友方施加护盾。,2,0,3000,2.3,,"17,45",,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,3,2,2,39050,100,39025,50,1.5
15,,,护盾狼,Monster/HuDunLang/P_HuDunLang.prefab,HuDunLang,梦想是成为圣殿勇士。,2,0,2400,1.5,ShieldSign,"14,18,55",,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,3,2,3,39040,100,39015,50,1.5
16,,,护士狼,Monster/HuShiLang/P_HuShiLang.prefab,HuShiLang,温柔的护士姐姐狼，乐于助人，总是照顾其他狼族成员，为他们提供治疗。,2,0,640,1.5,FLightSign,"20,46",,1,1,0,"5|1,10|1,10|1,15|1,20|1,99|1",1,0,0,0,0,0,0,0,100,3,2,2,39039,100,39014,50,1.5
17,,,飞贼沙维尔,Monster/FeiZeiShaWeiEr/P_FeiZeiShaWeiEr.prefab,FeiZeiShaWeiEr,因伤退役的马戏团演员，身手仍然灵活，善于躲避。,3,0,7200,1,FLightSign,"21,22,47",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,4,2,2,39038,500,39013,50,0
18,,,自爆狼王,Monster/ZiBaoLangWang/P_ZiBaoLangWang.prefab,ZiBaoLangWang,“艺术就是爆炸！”,3,0,14400,1.3,ShieldSign,"23,24,48",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,4,1,2,39037,500,39012,50,1.5
19,,,精明迈克,Monster/DaoMu3/P_DaoMu3.prefab,DaHuiLang,为人处世十分谨慎，总是走一步看三步。,3,0,18000,1.5,SpeedSign,"25,26,49",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,4,2,2,39036,500,39011,50,1.5
20,,,狡猾弗雷多,Monster/DaoMu3/P_DaoMu3.prefab,JiaoHuaFuLeiDuo,狼族黑帮中最难缠的对手。,3,0,18000,1.3,SpeedSign,"27,28,50",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,4,3,2,39035,500,39010,50,0
21,,,火爆桑尼,Monster/DaoMu2/P_DaoMu2.prefab,HuoBaoSangNi,狼族黑帮头号打手，脾气火爆，行事鲁莽。,3,0,10800,0.8,ShieldSign,"29,30,51",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,4,4,2,39034,500,39009,50,0
22,,,杰克弟弟,Monster/JieKeDi/P_JieKeDi.prefab,JieKeXiongDi2,从小与哥哥相依为命，可以为了兄弟做任何事。,3,0,10800,1.5,ShieldSign,"31,32",,40,1,0,"5|50,10|50,30|50,60|50,80|100,99|100",3,0,0,0,0,0,0,0,200,4,3,2,39033,500,39023,50,0
