MonsterSkill表格,,,,,,,,,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,Description,DescriptionID,Name,Icon,IsPassive,CD,Animation,AnimationDuration,DefaultFireBuff,PassiveTriggerSFX,PassiveTriggerEffect,PassiveTriggerDelay,FireSFX,FireEffect,FireEffectTime,HPPercent0,FireBuff0,HPPercent1,FireBuff1,MP,Bullet,FireTime,SearchTarget,Param0,ParamDesc0
int,string,string,string,int,string,string,bool,float,int,float,Vector<int>,int,int,float,int,int,float,float,Vector<int>,float,Vector<int>,int,Vector<int>,Vector<float>,MONSTER_SEARCH_TARGET(byte),string,string
Both,None,None,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
唯一ID,生成的变量名,注释,描述,描述的多语言ID,技能名,技能图标,是否为被动技能,冷却时间,"技能动作,填写的是状态机跳转的参数值",技能动作持续时长,释放被动技能时默认给自己附加的buff,被动技能触发时播放的音效,被动技能触发效果时播放的特效,被动技能生效延迟时间,释放主动技能时的音效,释放主动技能时播放的特效,主动技能特效释放的延迟时间,血量百分比0,满足血量百分比0时释放技能时给自己添加的buff列表,血量百分比1,满足血量百分比1时释放技能时给自己添加的buff列表,消耗的mp,技能的子弹,子弹释放时间,寻找目标的方式,参数0,参数描述0
,,,,Localization,,,,,,,BuffDetail,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,短时间提升自身移动速度。,100001,狂奔,KuangBen,0,3,3,0.83,,0,0,0,5000,1007,0.83,0.5,121,0,,0,,,1,,
2,,,移动时无视地面阻挡物。,100002,飞行,FeiXing,1,0,0,0,33,0,0,0,0,0,0,0,,0,,0,,,1,,
3,,,向前方闪烁3格距离，沿途不会触发陷阱。,100003,闪现,ShanXian,0,0,3,0.7,,0,0,0,5001,1009,0.7,0.66,124,0,,0,,,1,,
4,,,召唤1只小灰狼进入战场，属性继承召唤者属性的一定百分比。,100004,初级召唤,ChuJiZhaoHuan,0,0,3,0.65,,0,0,0,5002,1012,0,0.66,127,0,,0,,,1,,
5,,,受到的火属性伤害增加。,100005,怕火,PaHuo,1,0,0,0,"280,281",0,0,0,0,0,0,0,,0,,0,,,1,,
6,,,受到的火属性伤害增加。,100005,怕火,PaHuo,1,0,0,0,"282,283",0,0,0,0,0,0,0,,0,,0,,,1,,
7,,,受到的毒属性伤害增加。,100006,怕毒,PaDu,1,0,0,0,"284,285",0,0,0,0,0,0,0,,0,,0,,,1,,
8,,,无法被防御单位侦测,100016,潜行,QianXing,1,0,0,0,287,0,1011,0,0,0,0,0,,0,,0,,,1,,
9,,,降低受到的所有元素伤害。,100007,元素抵抗,YuanSuDiKang,1,0,0,0,286,0,0,0,0,0,0,0,,0,,0,,,1,,
10,,,降低受到的所有元素伤害。,100007,元素抵抗,YuanSuDiKang,1,0,0,0,288,0,0,0,0,0,0,0,,0,,0,,,1,,
11,,,降低受到的火属性和冰属性伤害。,100008,恒温,HengWen,1,0,0,0,"289,290",0,0,0,0,0,0,0,,0,,0,,,1,,
12,,,降低被【眩晕】和【击退】的概率；同时降低被眩晕时间和被击退距离。,100009,强壮,QiangZhuang,1,0,0,0,291,0,0,0,0,0,0,0,,0,,0,,,1,,
13,,,被击败时原地召唤若干只“小突袭狼”。,100010,突袭部队,TuXiBuDui,1,0,0,0,292,5003,1021,0,0,0,0,0,,0,,0,,,1,,
14,,,无法被【击退】。,100011,稳重,WenZhong,1,0,0,0,294,0,0,0,0,0,0,0,,0,,0,,,1,,
15,,,被击败时发生自爆，使周围的敌方单位【缴械】无法攻击。,100012,自爆,ZiBao,1,0,0,0,,5004,1001,1.5,0,0,0,0,,0,,0,,,1,,
16,,,受到的火属性伤害增加。,100005,怕火,PaHuo,1,0,0,0,"298,299",0,0,0,0,0,0,0,,0,,0,,,1,,
17,,,降低受到的所有元素伤害。,100007,元素抵抗,YuanSuDiKang,1,0,0,0,300,0,0,0,0,0,0,0,,0,,0,,,1,,
18,,,降低自身被暴击的概率。,100013,弱点防御,RuoDianFangYu,1,0,0,0,301,0,1019,0,0,0,0,0,,0,,0,,,1,,
19,,,受到的电属性伤害增加。,100014,怕电,PaDian,1,0,0,0,"302,303",0,0,0,0,0,0,0,,0,,0,,,1,,
20,,,移动时无视地面阻挡物。,100002,飞行,FeiXing,1,0,0,0,304,0,0,0,0,0,0,0,,0,,0,,,1,,
21,,,移动时无视地面阻挡物。,100002,飞行,FeiXing,1,0,0,0,305,0,0,0,0,0,0,0,,0,,0,,,1,,
22,,,受到的电属性伤害增加。,100014,怕电,PaDian,1,0,0,0,"306,307",0,0,0,0,0,0,0,,0,,0,,,1,,
23,,,被击败时发生自爆，使周围的敌方单位【缴械】无法攻击。,100012,自爆,ZiBao,1,0,0,0,,5008,1026,0,0,0,0,0,,0,,0,,,1,,
24,,,受到的火属性伤害增加。,100005,怕火,PaHuo,1,0,0,0,"311,312",0,0,0,0,0,0,0,,0,,0,,,1,,
25,,,使周围的陷阱无法触发。,100015,谨慎,JinShen,1,0,0,0,,0,0,0,0,0,0,0,,0,,0,,,1,,
26,,,受到的毒属性伤害增加。,100006,怕毒,PaDu,1,0,0,0,"330,331",0,0,0,0,0,0,0,,0,,0,,,1,,
