RewardConfig表格,,,,,,
Both,,,,,,
ID,VariableName,VariableComment,RewardConfigID,RewardGroup,Probability,Count
int,string,string,int,int,int,int
Both,None,None,Both,Both,Both,Both
唯一ID,生成的变量名,注释,"奖励id,配置奖励时使用这个",奖励组,概率（万分比）,奖励次数
,,,,,,
,,,,,,
,,,,,,
1,,,1,101,10000,1
2,,,1,102,5000,1
3,,,1,103,3000,1
4,,,1,104,3000,1
5,,,1,105,2000,1
6,,,2001,200101,10000,1
7,,,2001,200102,10000,1
8,,,2001,200103,10000,1
9,,,2001,200104,10000,1
10,,,101,10101,10000,3
11,,,102,10201,10000,3
12,,,103,10301,10000,3
13,,,104,10401,10000,3
14,,,105,10501,10000,3
15,,,106,10601,10000,3
16,,,201,10101,10000,5
17,,,202,10201,10000,5
18,,,203,10301,10000,5
19,,,204,10401,10000,5
20,,,205,10501,10000,5
21,,,206,10601,10000,5
22,,,301,10101,10000,7
23,,,302,10201,10000,7
24,,,303,10301,10000,7
25,,,304,10401,10000,7
26,,,305,10501,10000,7
27,,,306,10601,10000,7
