SkillBullet表格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,Name,Type,ElementType,FlyEffect,HitEffect,HitSound0,HitSound1,HitEffectPosition,MuzzleEffect,ExplosionEffect,WillHitBuffToTarget,HitBuffToTarget,HitBuffToSelf,Attack,AttackPercent,Speed,StartPosition,StartPointName,HitPoint,DamageModifier,EffectiveTarget,SingleTarget,IsDamage,Param0,ParamDesc0,Param1,ParamDesc1,Param2,ParamDesc2,Param3,ParamDesc3
int,string,string,string,BULLET_TYPE(byte),DAMAGE_ELEMENT(byte),int,int,int,int,HIT_EFFECT_POSITION(byte),int,int,Vector<int>,Vector<int>,Vector<int>,int,float,float,BULLET_FIRE_POINT(byte),string,string,int,int,bool,bool,string,string,string,string,string,string,string,string
Both,None,None,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
唯一ID,生成的变量名,注释,子弹名,子弹类型,伤害元素类型,子弹飞行时的特效,子弹击中时的特效,击中时的音效0,击中时的音效1,子弹击中特效的位置计算方式,子弹枪口发射的特效,"子弹爆炸的特效,特效播放完成会自动销毁,不跟随子弹周期",子弹即将击中时给被命中目标所附加的buff列表,子弹击中时给被命中目标所附加的buff列表,子弹击中时给技能释放者所附加的buff列表,子弹的攻击力,"子弹的百分比攻击力,是技能释放者的自身攻击力百分比",子弹的移动速度,子弹发出的起始位置,如果StartPosition为SELF_POINT.则需要填写节点名字,子弹击中目标位置节点名字,"子弹伤害修改器ID,索引到BulletDamageModifier表格",生效的目标类型,是否为单体伤害,是否会造成伤害,参数0,参数描述0,参数1,参数描述1,参数2,参数描述2,参数3,参数描述3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,一星窜天猴,2,0,2,8,0,0,1,5,0,,,,10,1,8,4,FirePoint,BodyPoint,0,3,1,1,2,抛物线最高高度,0,爆炸范围,,,,
2,,,二星窜天猴,2,0,2,8,0,0,1,5,0,,,,10,1,8,4,FirePoint,BodyPoint,0,3,1,1,2,抛物线最高高度,0,爆炸范围,,,,
3,,,三星窜天猴,2,0,2,8,0,0,1,5,0,,,,10,1,8,4,FirePoint,BodyPoint,0,3,1,1,2,抛物线最高高度,0,爆炸范围,,,,
4,,,自爆狼王投弹,2,0,103001,8,0,0,2,5,103002,,351,,10,1,8,2,Fire_point,BodyPoint,0,4,1,1,2,抛物线最高高度,0,爆炸范围,,,,
5,,,精明迈克烟雾弹,4,1,12,16,0,0,1,20,0,,352,,10,1,0,1,,BodyPoint,0,3,0,0,9,爆炸范围,0,是否使用角色的攻击范围作为爆炸范围,3,持续时间,,
10011,,,一星十字弓,2,0,101001,101002,3003,3004,1,4,0,,,,0,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
10021,,,一星十字弓紫宝石,2,4,101041,101042,3003,3004,1,20,0,,,,20,1,15,4,Fire_point,BodyPoint,0,2,1,1,1,抛物线最高高度,0,爆炸范围,,,,
