Tower表格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,Name,FunctionType,FunctionTypeName,Description,LocalLang,Prefab,Icon,Skill,Range,HexRange,DefaultBuff,Star,Level,Type,RotateRoot,Price,RogueLevelUpTowerSilverCost,LevelUpCostID,LevelUpCostParam0,LevelUpCostParam1,LevelUpCostParam2,StarUpCostID,StarUpCostCount,SellReward,SellParam0,SellParam1,SellParam2,Critical,DisplayInOrder
int,string,string,string,byte,string,string,int,string,string,int,float,Vector<int>,Vector<int>,int,int,TOWER_TYPE(byte),string,int,Vector<Vector3Int>,Vector<int>,Vector<int>,Vector<int>,Vector<int>,Vector<int>,Vector<int>,Vector<int>,Vector<int>,Vector<int>,Vector<int>,float,int
Both,None,None,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
唯一ID,生成的变量名,注释,名称,功能类型,功能类型名,描述,描述在Localization表下的对应ID,"GameResources下的相对路径,带后缀",塔的图标,防御塔所携带的技能,"攻击目标检测范围,需要乘以格子的大小才是半径值",范围是六边形地块的哪几个边，可以用Range延长,默认Buff,星级,等级,类型,旋转节点的名字,卡牌模式下的金币消耗,肉鸽模式下塔升级消耗,升级消耗资源,升级消耗资源参数1,升级消耗资源参数2,升级消耗资源参数3,升星消耗资源,升星消耗资源数量,出售返还资源,出售返还资源参数1,出售返还资源参数2,出售返还资源参数3,暴击率,局内显示顺序
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,十字弓,1,机括,[所有目标]初级防御塔，使用拉力来弹射出箭矢，为城防提供基本保护。,61012,Tower/ShiZiGong/P_ShiZiGong_lv1.prefab,ShiZiGong_lv1,1001,1.6,,,1,1,1,Mark_H,1,"1,5,2|6,10,3|11,30,5","1001,1004","500,500","20000,20000","10,10",1004,0,1004,250,10000,5,0.1,1
110,,,十字弓,1,机括,[所有目标]初级防御塔，使用拉力来弹射出箭矢，为城防提供基本保护。,61012,Tower/ShiZiGong/P_ShiZiGong_lv2.prefab,ShiZiGong_lv2,1101,1.6,,,2,1,1,Mark_H,3,"1,5,2|6,10,3|11,30,5","1001,1004","500,500","20000,20000","10,10",1004,0,1004,250,10000,5,0.1,1
120,,,十字弓,1,机括,[所有目标]初级防御塔，使用拉力来弹射出箭矢，为城防提供基本保护。,61012,Tower/ShiZiGong/P_ShiZiGong_lv3.prefab,ShiZiGong_lv3,1201,1.6,,,3,1,1,Mark_H,9,"1,5,2|6,10,3|11,30,5","1001,1004","500,500","20000,20000","10,10",1004,0,1004,250,10000,5,0.1,1
1200,,,飞镖发射器,1,机括,[地面目标]结合了古老的工艺与简单的机械原理，快速而精准地向敌人发射飞镖。,61003,Tower/FeiBiaoFaSheQi/P_FeiBiaoFaSheQi_lv1.prefab,FeiBiaoFaSheQi_lv1,12001,1.8,,,1,1,13,Mark_H,3,"1,5,3|6,10,4|11,30,6","1001,1004","500,500","20000,20000","10,10",1004,0,1004,500,20000,10,0.1,2
1210,,,飞镖发射器,1,机括,[地面目标]结合了古老的工艺与简单的机械原理，快速而精准地向敌人发射飞镖。,61003,Tower/FeiBiaoFaSheQi/P_FeiBiaoFaSheQi_lv2.prefab,FeiBiaoFaSheQi_lv2,12101,1.8,,,2,1,13,Mark_H,9,"1,5,3|6,10,4|11,30,6","1001,1004","500,500","20000,20000","10,10",1004,0,1004,500,20000,10,0.1,2
1220,,,飞镖发射器,1,机括,[地面目标]结合了古老的工艺与简单的机械原理，快速而精准地向敌人发射飞镖。,61003,Tower/FeiBiaoFaSheQi/P_FeiBiaoFaSheQi_lv3.prefab,FeiBiaoFaSheQi_lv3,12201,1.8,,,3,1,13,Mark_H,27,"1,5,3|6,10,4|11,30,6","1001,1004","500,500","20000,20000","10,10",1004,0,1004,500,20000,10,0.1,2
200,,,防空飞弹塔,2,火种,[空中目标]能够一次发射多枚小型防空弹，针对多个飞行目标进行精准打击。无法攻击地面敌人,61011,Tower/FangKongFeiDanTa/P_FangKongFeiDanTa_lv1.prefab,FangKongFeiDanTa_lv1,2001,2,,,1,1,2,Mark_H,2,"1,5,3|6,10,4|11,30,6","1001,1004","500,500","20000,20000","10,10",1004,0,1004,250,10000,5,0.1,3
