TowerSkill表格,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,Name,Bullet,FireTime,FireEffect,FireAnimation,FireSound,CD,ClearTarget,SearchTarget,EnemyType,Param0,ParamDesc0,Param1,ParamDesc1
int,string,string,string,Vector<int>,Vector<float>,int,string,int,float,bool,SEARCH_TARGET(byte),TARGET_BEHAVIOUR_TYPE(byte),string,string,string,string
Both,None,None,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,None,Both,None
唯一ID,生成的变量名,注释,技能名字,包含的子弹列表,"子弹发射的时间点列表,秒",释放时的特效,释放时的动作,释放时播放的音效,技能CD,"每次释放技能时是否会先清除目标,如果不清除,则只有上一次的目标不满足攻击条件时才会重新选择,当同时选择多个目标时仍然会每次重新选择",寻敌方式,敌人类型,参数0,参数描述0,参数1,参数描述1
,,,,SkillBullet,,Effect,,Audio,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1001,SHI_ZI_GONG_1,一星十字弓,一星十字弓,10011,0,0,,3002,1.5,0,1,3,,,,
1002,SHI_ZI_GONG_1_PURPLE,一星十字弓紫宝石,一星十字弓紫宝石,10021,0,0,,3002,1.5,0,1,3,,,,
1003,SHI_ZI_GONG_1_RED,一星十字弓红宝石,一星十字弓红宝石,10031,0,0,,3002,1.5,0,1,3,,,,
1004,SHI_ZI_GONG_1_GREEN,一星十字弓绿宝石,一星十字弓绿宝石,10041,0,0,,3002,1.5,0,1,3,,,,
1005,SHI_ZI_GONG_1_BLUE,一星十字弓蓝宝石,一星十字弓蓝宝石,10051,0,0,,3002,1.5,0,1,3,,,,
1101,SHI_ZI_GONG_2,二星十字弓,二星十字弓,11011,0,0,,3002,1.4,0,1,3,,,,
1102,SHI_ZI_GONG_2_PURPLE,二星十字弓紫宝石,二星十字弓紫宝石,11021,0,0,,3002,1.4,0,1,3,,,,
1103,SHI_ZI_GONG_2_RED,二星十字弓红宝石,二星十字弓红宝石,11031,0,0,,3002,1.4,0,1,3,,,,
1104,SHI_ZI_GONG_2_GREEN,二星十字弓绿宝石,二星十字弓绿宝石,11041,0,0,,3002,1.4,0,1,3,,,,
1105,SHI_ZI_GONG_2_BLUE,二星十字弓蓝宝石,二星十字弓蓝宝石,11051,0,0,,3002,1.4,0,1,3,,,,
1201,SHI_ZI_GONG_3,三星十字弓,三星十字弓,12011,0,0,,3002,1.3,0,1,3,,,,
1202,SHI_ZI_GONG_3_PURPLE,三星十字弓紫宝石,三星十字弓紫宝石,12021,0,0,,3002,1.3,0,1,3,,,,
1203,SHI_ZI_GONG_3_RED,三星十字弓红宝石,三星十字弓红宝石,12031,0,0,,3002,1.3,0,1,3,,,,
1204,SHI_ZI_GONG_3_GREEN,三星十字弓绿宝石,三星十字弓绿宝石,12041,0,0,,3002,1.3,0,1,3,,,,
1205,SHI_ZI_GONG_3_BLUE,三星十字弓蓝宝石,三星十字弓蓝宝石,12051,0,0,,3002,1.3,0,1,3,,,,
12001,FEI_BIAO_FA_SHE_1,一星飞镖发射器,一星飞镖发射器,"120011,120012","0,0",0,,3008,0.6,0,1,1,,,,
12002,FEI_BIAO_FA_SHE_1_PURPLE,一星飞镖发射器紫宝石,一星飞镖发射器紫宝石,"120021,120022","0,0",0,,3008,0.6,0,1,1,,,,
12003,FEI_BIAO_FA_SHE_1_RED,一星飞镖发射器红宝石,一星飞镖发射器红宝石,"120031,120032","0,0",0,,3008,0.6,0,1,1,,,,
12004,FEI_BIAO_FA_SHE_1_GREEN,一星飞镖发射器绿宝石,一星飞镖发射器绿宝石,"120041,120042","0,0",0,,3008,0.6,0,1,1,,,,
12005,FEI_BIAO_FA_SHE_1_BLUE,一星飞镖发射器蓝宝石,一星飞镖发射器蓝宝石,"120051,120052","0,0",0,,3008,0.6,0,1,1,,,,
12101,FEI_BIAO_FA_SHE_2,二星飞镖发射器,二星飞镖发射器,"121011,121012","0,0",0,,3008,0.5,0,1,1,,,,
12102,FEI_BIAO_FA_SHE_2_PURPLE,二星飞镖发射器紫宝石,二星飞镖发射器紫宝石,"121021,121022","0,0",0,,3008,0.5,0,1,1,,,,
12103,FEI_BIAO_FA_SHE_2_RED,二星飞镖发射器红宝石,二星飞镖发射器红宝石,"121031,121032","0,0",0,,3008,0.5,0,1,1,,,,
12104,FEI_BIAO_FA_SHE_2_GREEN,二星飞镖发射器绿宝石,二星飞镖发射器绿宝石,"121041,121042","0,0",0,,3008,0.5,0,1,1,,,,
12105,FEI_BIAO_FA_SHE_2_BLUE,二星飞镖发射器蓝宝石,二星飞镖发射器蓝宝石,"121051,121052","0,0",0,,3008,0.5,0,1,1,,,,
12201,FEI_BIAO_FA_SHE_3,三星飞镖发射器,三星飞镖发射器,"122011,122012","0,0",0,,3008,0.4,0,1,1,,,,
12202,FEI_BIAO_FA_SHE_3_PURPLE,三星飞镖发射器紫宝石,三星飞镖发射器紫宝石,"122021,122022","0,0",0,,3008,0.4,0,1,1,,,,
12203,FEI_BIAO_FA_SHE_3_RED,三星飞镖发射器红宝石,三星飞镖发射器红宝石,"122031,122032","0,0",0,,3008,0.4,0,1,1,,,,
12204,FEI_BIAO_FA_SHE_3_GREEN,三星飞镖发射器绿宝石,三星飞镖发射器绿宝石,"122041,122042","0,0",0,,3008,0.4,0,1,1,,,,
12205,FEI_BIAO_FA_SHE_3_BLUE,三星飞镖发射器蓝宝石,三星飞镖发射器蓝宝石,"122051,122052","0,0",0,,3008,0.4,0,1,1,,,,
2001,FANG_KONG_FEI_DAN_1,一星防空飞弹塔,一星防空飞弹塔,"20011,20012,20013","0,0,0",0,,3023,2.6,0,1,2,,,,
2002,FANG_KONG_FEI_DAN_1_PURPLE,一星防空飞弹塔紫宝石,一星防空飞弹塔紫宝石,"20021,20022,20023","0,0,0",0,,3023,2.6,0,1,2,,,,
2003,FANG_KONG_FEI_DAN_1_RED,一星防空飞弹塔红宝石,一星防空飞弹塔红宝石,"20031,20032,20033","0,0,0",0,,3023,2.6,0,1,2,,,,
2004,FANG_KONG_FEI_DAN_1_GREEN,一星防空飞弹塔绿宝石,一星防空飞弹塔绿宝石,"20041,20042,20043","0,0,0",0,,3023,2.6,0,1,2,,,,
2005,FANG_KONG_FEI_DAN_1_BLUE,一星防空飞弹塔蓝宝石,一星防空飞弹塔蓝宝石,"20051,20052,20053","0,0,0",0,,3023,2.6,0,1,2,,,,
2101,FANG_KONG_FEI_DAN_2,二星防空飞弹塔,二星防空飞弹塔,"21011,21012,21013,21014","0,0,0,0",0,,3023,2.4,0,1,2,,,,
2102,FANG_KONG_FEI_DAN_2_PURPLE,二星防空飞弹塔紫宝石,二星防空飞弹塔紫宝石,"21021,21022,21023,21024","0,0,0,0",0,,3023,2.4,0,1,2,,,,
2103,FANG_KONG_FEI_DAN_2_RED,二星防空飞弹塔红宝石,二星防空飞弹塔红宝石,"21031,21032,21033,21034","0,0,0,0",0,,3023,2.4,0,1,2,,,,
2104,FANG_KONG_FEI_DAN_2_GREEN,二星防空飞弹塔绿宝石,二星防空飞弹塔绿宝石,"21041,21042,21043,21044","0,0,0,0",0,,3023,2.4,0,1,2,,,,
2105,FANG_KONG_FEI_DAN_2_BLUE,二星防空飞弹塔蓝宝石,二星防空飞弹塔蓝宝石,"21051,21052,21053,21054","0,0,0,0",0,,3023,2.4,0,1,2,,,,
2201,FANG_KONG_FEI_DAN_3,三星防空飞弹塔,三星防空飞弹塔,"22011,22012,22013,22014,22015","0,0,0,0,0",0,,3023,2.2,0,1,2,,,,
2202,FANG_KONG_FEI_DAN_3_PURPLE,三星防空飞弹塔紫宝石,三星防空飞弹塔紫宝石,"22021,22022,22023,22024,22025","0,0,0,0,0",0,,3023,2.2,0,1,2,,,,
2203,FANG_KONG_FEI_DAN_3_RED,三星防空飞弹塔红宝石,三星防空飞弹塔红宝石,"22031,22032,22033,22034,22035","0,0,0,0,0",0,,3023,2.2,0,1,2,,,,
2204,FANG_KONG_FEI_DAN_3_GREEN,三星防空飞弹塔绿宝石,三星防空飞弹塔绿宝石,"22041,22042,22043,22044,22045","0,0,0,0,0",0,,3023,2.2,0,1,2,,,,
2205,FANG_KONG_FEI_DAN_3_BLUE,三星防空飞弹塔蓝宝石,三星防空飞弹塔蓝宝石,"22051,22052,22053,22054,22055","0,0,0,0,0",0,,3023,2.2,0,1,2,,,,
8001,HUO_PAO_1,一星火炮塔,一星火炮塔,"80011,80012","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8002,HUO_PAO_1_PURPLE,一星火炮塔紫宝石,一星火炮塔紫宝石,"80021,80022","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8003,HUO_PAO_1_RED,一星火炮塔红宝石,一星火炮塔红宝石,"80031,80032","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8004,HUO_PAO_1_GREEN,一星火炮塔绿宝石,一星火炮塔绿宝石,"80041,80042","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8005,HUO_PAO_1_BLUE,一星火炮塔蓝宝石,一星火炮塔蓝宝石,"80051,80052","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8101,HUO_PAO_2,二星火炮塔,二星火炮塔,"81011,81012","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8102,HUO_PAO_2_PURPLE,二星火炮塔紫宝石,二星火炮塔紫宝石,"81021,81022","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8103,HUO_PAO_2_RED,二星火炮塔红宝石,二星火炮塔红宝石,"81031,81032","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8104,HUO_PAO_2_GREEN,二星火炮塔绿宝石,二星火炮塔绿宝石,"81041,81042","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8105,HUO_PAO_2_BLUE,二星火炮塔蓝宝石,二星火炮塔蓝宝石,"81051,81052","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8201,HUO_PAO_3,三星火炮塔,三星火炮塔,"82011,82012","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8202,HUO_PAO_3_PURPLE,三星火炮塔紫宝石,三星火炮塔紫宝石,"82021,82022","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8203,HUO_PAO_3_RED,三星火炮塔红宝石,三星火炮塔红宝石,"82031,82032","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8204,HUO_PAO_3_GREEN,三星火炮塔绿宝石,三星火炮塔绿宝石,"82041,82042","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
8205,HUO_PAO_3_BLUE,三星火炮塔蓝宝石,三星火炮塔蓝宝石,"82051,82052","0,0",0,,3014,6,0,1,1,30,下落的起始高度,,
10001,XIAN_DAN_1,一星霰弹塔,一星霰弹塔,"1100011,1100012,1100012,1100012,1100012","0,0,0,0,0",0,,3020,1.3,0,1,1,,,,
10002,XIAN_DAN_1_PURPLE,一星霰弹塔紫宝石,一星霰弹塔紫宝石,"1100021,1100022,1100022,1100022,1100022","0,0,0,0,0",0,,3020,1.3,0,1,1,,,,
10003,XIAN_DAN_1_RED,一星霰弹塔红宝石,一星霰弹塔红宝石,"1100031,1100032,1100032,1100032,1100032","0,0,0,0,0",0,,3020,1.3,0,1,1,,,,
10004,XIAN_DAN_1_GREEN,一星霰弹塔绿宝石,一星霰弹塔绿宝石,"1100041,1100042,1100042,1100042,1100042","0,0,0,0,0",0,,3020,1.3,0,1,1,,,,
10005,XIAN_DAN_1_BLUE,一星霰弹塔蓝宝石,一星霰弹塔蓝宝石,"1100051,1100052,1100052,1100052,1100052","0,0,0,0,0",0,,3020,1.3,0,1,1,,,,
10101,XIAN_DAN_2,二星霰弹塔,二星霰弹塔,"1101011,1101012,1101012,1101012,1101012","0,0,0,0,0",0,,3020,1.2,0,1,1,,,,
10102,XIAN_DAN_2_PURPLE,二星霰弹塔紫宝石,二星霰弹塔紫宝石,"1101021,1101022,1101022,1101022,1101022","0,0,0,0,0",0,,3020,1.2,0,1,1,,,,
