TowerTalent表格,,,,,,,,,,,,
Both,,,,,,,,,,,,
ID,VariableName,VariableComment,Name,SimpleDescription,Description,Buff,Icon,TowerType,IsPowerful,MaxSelectCount,PreTalent,MutexTalent
int,string,string,string,string,string,Vector<int>,string,TOWER_TYPE(byte),bool,int,Vector<Vector2Int>,Vector<int>
Both,None,None,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
唯一ID,生成的变量名,注释,天赋名,天赋简单描述,天赋描述,携带的buffID,图标名字,关联的防御塔,是否为强力特性,可选择的最大次数,前置词条,互斥词条
,,,,,,BuffDetail,,,,,,TowerTalent
,,,,,,,,,,,,
,,,,,,,,,,,,
1,,,火力强化,十字弓伤害增加,{0}伤害+{1}%,7000,Harm,1,0,3,,
2,,,速射,十字弓攻速增加,{0}攻速+{1}%,7002,CD,1,0,2,,
7,,,火力强化,防空飞弹塔伤害增加,{0}伤害+{1}%,7012,Harm,2,0,3,,
8,,,速射,防空飞弹塔攻速增加,{0}攻速+{1}%,7014,CD,2,0,2,,
17,,,火力强化,飞镖发射器伤害增加,{0}伤害+{1}%,7032,Harm,13,0,3,,
18,,,速射,飞镖发射器攻速增加,{0}攻速+{1}%,7034,CD,13,0,2,,
3,,,火力强化,火炮塔伤害增加,{0}伤害+{1}%,7004,Harm,9,0,3,,
4,,,爆炸扩散,火炮塔攻速增加,{0}爆炸范围+{1}%,7006,AOE,9,0,2,,
15,,,火力强化,霰弹塔伤害增加,{0}伤害+{1}%,7028,Harm,11,0,3,,
16,,,速射,霰弹塔攻速增加,{0}攻速+{1}%,7030,CD,11,0,2,,
13,,,火力强化,回旋飞镖塔伤害增加,{0}伤害+{1}%,7024,Harm,10,0,3,,
14,,,速射,回旋飞镖塔攻速增加,{0}攻速+{1}%,7026,CD,10,0,2,,
5,,,火力强化,天空之矛伤害增加,{0}伤害+{1}%,7008,Harm,12,0,3,,
6,,,速射,天空之矛攻速增加,{0}攻速+{1}%,7010,CD,12,0,2,,
21,,,火力强化,电磁震荡塔伤害增加,{0}伤害+{1}%,7040,Harm,15,0,3,,
22,,,多多益善,电磁震荡塔能量球增加,{0}能量球数量+{1}个,7042,CD,15,0,2,,
23,,,火力强化,风刃发射器伤害增加,{0}伤害+{1}%,7044,Harm,16,0,3,,
24,,,速射,风刃发射器攻速增加,{0}攻速+{1}%,7046,CD,16,0,2,,
19,,,火力强化,气球炸弹塔伤害增加,{0}伤害+{1}%,7036,Harm,14,0,3,,
20,,,速射,气球炸弹塔攻速增加,{0}爆炸范围+{1}%,7038,CD,14,0,2,,
9,,,投石机伤害增加,投石机伤害增加,伤害+{1}%,7016,Harm,3,0,3,,
10,,,投石机爆炸范围增加,投石机爆炸范围增加,爆炸范围+{1}%,7018,AOE,3,0,2,,
11,,,镶嵌塔伤害增加,镶嵌塔伤害增加,伤害+{1}%,7020,Harm,4,0,3,,
12,,,镶嵌塔攻击间隔减少,镶嵌塔攻速增加,攻速+{1}%,7022,CD,4,0,2,,
25,,,连击强化,十字弓几率连续攻击2次,{0}攻击时有{1}%的几率连续攻击2次,7048,Powerful,1,1,1,"1,1",
26,,,多重射击,十字弓攻击造成一次范围伤害,{0}每次攻击后会造成范围伤害,7051,Powerful,1,1,1,"25,1|27,1",
27,,,致命一击,十字弓攻击数次后暴击一次,{0}每攻击{1}次后下一击必定暴击,7054,Powerful,1,1,1,,
28,,,鼓舞,十字弓佣兵数量提升攻速,{0}每攻击{1}次后下一击必定暴击,7054,Powerful,1,1,1,"2,1",
29,,,先发制人,十字弓前5波伤害增加,{0}前{1}波伤害+{2}%,7060,Powerful,1,1,1,,
77,,,随机改造,十字弓杀数个敌人后变身其他塔,{0}击杀{1}个敌人后，随机变成一个同等级的其他防御塔,7183,Powerful,1,1,1,"1,3|2,2",
30,,,击退,防空飞弹塔几率击退,{0}命中敌人时有{1}%几率使敌人击退{2}格,7062,Powerful,2,1,1,,31
31,,,扩容,防空飞弹塔加子弹降攻速,{0}子弹数量+{1}，攻速-{2}%,7065,Powerful,2,1,2,"76,1",30
32,,,短距疾射,防空飞弹塔加攻速降射程,{0}攻速+{1}%，射程-{2}%,7068,Powerful,2,1,2,"8,1",
76,,,弹射子弹,防空飞弹塔加弹跳,{0}子弹的弹跳次数+{1}，弹跳伤害{2}%,7181,Powerful,2,1,1,"7,1",
33,,,激励,防空飞弹塔杀敌加攻击攻速,{0}击杀敌人时，攻击+{1}%，攻速+{2}%，持续{3}秒,7071,Powerful,2,1,1,"34,1",
34,,,火力全开,防空飞弹塔每秒加攻速,{0}每{1}秒攻速+{2}%，持续{3}秒,7075,Powerful,2,1,1,,
69,,,专注,飞镖发射器每攻击一次加攻击,{0}每次攻击提高攻击{2}%。上限{3}层，切换目标重置。攻击-{1}%,7165,Powerful,13,1,1,"17,1",
53,,,动力加速度,飞镖发射器每攻击一次加攻速,{0}每次攻击提升攻速{2}%，上限{3}层，若{4}秒未攻击则重置。攻速-{1}%,7125,Powerful,13,1,1,"18,1",
70,,,乱射,"飞镖发射器攻击提高,随机目标",{0}攻击+{1}%，但每次攻击将随机选择射程内目标,7167,Powerful,13,1,1,"69,1|53,1",
54,,,不稳定过载,飞镖发射器几率加暴击暴伤,每波开始，{0}有{1}%概率进入过载状态，暴击概率+{2}%，暴击伤害+{3}%；,7127,Powerful,13,1,1,"70,1",
71,,,落井下石,飞镖发射器有debuff的怪加伤害,{0}对处于异常状态下的单位造成的伤害+{1}%,7170,Powerful,13,1,1,,
89,,,弹射飞镖,飞镖发射器子弹弹跳,{0}子弹弹跳次数+{1}，伤害-{2}%,7331,Powerful,13,1,1,"69,1|17,2",
42,,,小型陨石,火炮塔加子弹减范围,{0}子弹数量+{1}，爆炸范围减少{2}%,7094,Powerful,9,1,2,,
43,,,火药节约,火炮塔加子弹减伤害,{0}子弹数量+{1}，造成的伤害-{2}%,7097,Powerful,9,1,2,"4,1",
78,,,梅开二度,火炮塔几率爆炸多次,{0}炮弹着陆时有{1}%概率多爆炸{2}次,7185,Powerful,9,1,1,"42,1|45,1",84
84,,,灼烧路面,火炮塔爆炸留下减速地面,{0}子弹爆炸后会留下一个减速{1}%的地面，持续{2}秒,7201,Powerful,9,1,1,"42,1|43,1",78
44,,,火力集群,火炮塔范围内有塔增加攻击,1格范围内，每有1个塔，{0}攻击+{1}%,7100,Powerful,9,1,1,"84,1",
45,,,势能集群,火炮塔范围内有塔增加攻速,1格范围内，每有1个塔，{0}攻速+{1}%,7102,Powerful,9,1,1,"44,1",
64,,,预备弹药,霰弹塔前几秒攻速提升,{0}波次开始的前{1}秒，攻速+{2}%,7154,Powerful,11,1,1,"16,1",
48,,,击退,霰弹塔击退敌人,{0}每次攻击会击退敌方单位{1}格,7110,Powerful,11,1,1,"15,1|16,1",66
65,,,弹丸收束,霰弹塔射程增加,{0}射程+{1}%,7157,Powerful,11,1,1,,
66,,,赏金猎人,霰弹塔击杀或者建造点,{0}每击杀{1}个敌人，获得{2}建造点,7159,Powerful,11,1,1,"67,1",48
67,,,狂热,霰弹塔击杀敌人提升攻击,{0}击杀{1}个敌人后，下一次攻击伤害+{2}%,7161,Powerful,11,1,1,"15,1",
85,,,巨型回旋镖,回旋飞镖塔子弹增大,{0}子弹体积增大{1}%,7321,Powerful,10,1,1,,
86,,,强化投掷,回旋飞镖塔范围增加飞行速度增加,{0}范围增大{1}%，飞行速度+{2}%,7323,Powerful,10,1,1,"85,1",
87,,,连续投掷,回旋飞镖塔子弹增加攻速降低,{0}子弹+{1}，攻速-{2}%,7326,Powerful,10,1,1,"13,1",
88,,,激励,回旋飞镖塔击杀增加攻速,{0}每击杀{1}个单位，攻速+{2}%，上限{3}%,7329,Powerful,10,1,1,"14,1",
46,,,连续投掷,回旋飞镖塔子弹增加攻速降低,{0}子弹数量+{1}，攻速-{2}%,7104,Powerful,10,1,1,,
47,,,致残,回旋飞镖塔命中减速,{0}子弹命中目标减速{1}%，持续{2}秒,7107,Powerful,10,1,1,,
62,,,回音镖,回旋飞镖塔子弹增加攻击降低,{0}子弹数+{1}倍，但是攻击-{2}%,7148,Powerful,10,1,1,,
