WaveConfig表格,,,,,,,,,,,,,,,,,,,,,,,,,,,
Both,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,VariableName,VariableComment,Level,Wave,SpawnRule,SpawnPoint,SpawnPointWeight,SpawnPointTimes,SpawnQueue,Population,MonsterIDs,MonsterWeights,Interval,RandomBoss,BossProbability,RewardCurrency,ScoreRatio,HpRatio,HpRatioGrow,HpRatioMonster,HpModifier,CardPool,CardRandomCount,HpCapacityRatio,RewardID,RewardExp,SelectOnlyOne
int,string,string,int,int,SPAWN_POINT_RULE(byte),Vector<int>,Vector<int>,int,Vector<Vector2Int>,int,Vector<int>,Vector<int>,int,Vector<int>,int,int,int,int,int,Vector<Vector2Int>,float,int,int,int,int,int,bool
Both,None,None,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
唯一ID,生成的变量名,注释,关卡id,波次,出怪规则,出怪口,出怪口随机权重,出怪口出怪次数,固定怪物序列,怪物总人口,怪物id,怪物权重,出怪间隔,随机boss,boss出现概率,奖励货币,怪物掉落分数系数,难度系数,难度增长,难度系数单独怪物配置,难度修正,卡池id,"词条展示数量,仅无尽抽卡生效",战力系数,关卡奖励,掉落宠物经验,词条是否单选
,,,Level,,,,,,,,,,,,,,,,,,,CardPoolConfig,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209001,,,1209,1,3,0,,1,,15,"6,7","1,1",1500,,0,10,10000,2622,0,,1.5,22,5,0,50010013,100,0
1209002,,,1209,2,3,0,,1,,20,"6,2","1,1",1500,,0,5,10000,3497,0,,1.5,23,3,0,50010013,105,1
1209003,,,1209,3,3,0,,1,,20,"2,7,8,11","1,1,1,1",1500,,0,5,10000,4371,0,,1.5,24,3,0,50010013,110,1
1209004,,,1209,4,3,0,,1,,20,"2,7,11,14","1,1,1,1",1500,,0,10,10000,5246,0,,1.5,25,3,0,50010013,115,1
1209005,,,1209,5,3,0,,1,,50,"7,2,26","1,1,1000",1500,,10000,5,10000,7869,0,,1.5,22,5,0,50010014,120,0
1209006,,,1209,6,3,0,,1,,15,"1,2,4,5,14","1,1,1,1,1",1500,,0,5,10000,9617,0,,1.5,23,3,0,50010013,125,1
1209007,,,1209,7,3,0,,1,,20,"1,2,4,5,14","1,1,1,1,1",1500,,0,5,10000,12241,0,,1.5,24,3,0,50010013,130,1
1209008,,,1209,8,3,0,,1,,15,"2,11","1,1",2000,,0,5,10000,13992,0,,1.5,25,3,0,50010013,135,1
1209009,,,1209,9,3,0,,1,,20,"2,8,11","1,1,1",2000,,0,10,10000,15740,0,,1.5,26,3,0,50010013,140,1
1209010,,,1209,10,3,0,,1,,20,"2,7,8,11","1,1,1,1",2000,,0,5,10000,17489,0,,1.5,21,5,0,50010013,145,0
1209011,,,1209,11,3,0,,1,,25,"1,2,6,8","1,3,3,2",1500,,0,5,10000,19238,0,,1.5,24,3,0,50010013,150,1
1209012,,,1209,12,3,0,,1,,50,"7,2,24","1,1,1000",1500,,10000,5,10000,26233,0,,1.5,25,3,0,50010014,155,1
1209013,,,1209,13,3,0,,1,,25,"1,2,6,8","1,3,3,2",1500,,0,5,10000,13992,0,,1.5,26,3,0,50010013,160,1
1209014,,,1209,14,3,0,,2,,15,"6,5","1,1",1500,,0,10,10000,13992,0,,1.5,27,3,0,50010013,165,1
1209015,,,1209,15,3,0,,2,,15,"6,5","1,1",1500,,0,5,10000,15740,0,,1.5,21,5,0,50010013,170,0
1209016,,,1209,16,3,0,,2,,15,"2,6,5","2,3,3",1500,,0,5,10000,17489,0,,1.5,25,3,0,50010013,175,1
1209017,,,1209,17,3,0,,2,,18,"1,2,6","1,3,5",1500,,0,5,10000,19238,0,,1.5,26,3,0,50010013,180,1
1209018,,,1209,18,3,0,,2,,18,"1,2,6,5","1,3,3,2",1500,,0,5,10000,20987,0,,1.5,27,3,0,50010013,185,1
1209019,,,1209,19,3,0,,2,,18,"1,2,6,3","1,3,3,2",1500,,0,10,10000,22735,0,,1.5,28,3,0,50010013,190,1
1209020,,,1209,20,3,0,,2,,20,"1,4,7,3","1,3,3,2",1500,,0,5,10000,24485,0,,1.5,21,5,0,50010013,195,0
1209021,,,1209,21,3,0,,2,,44,"2,24","1,1000",3000,,10000,5,10000,26233,0,,1.5,26,3,0,50010014,200,1
1209022,,,1209,22,3,0,,2,,20,"1,2,3,12","5,2,3,2",1800,,0,5,10000,27984,0,,1.5,27,3,0,50010013,220,1
1209023,,,1209,23,3,0,,2,,20,"1,2,4,12","4,2,3,2",1800,,0,5,10000,29732,0,,1.5,28,3,0,50010013,245,1
1209024,,,1209,24,3,0,,2,,23,"2,6,12","5,5,3",1500,,0,10,10000,31481,0,,1.5,29,3,0,50010013,270,1
1209025,,,1209,25,3,0,,2,,23,"2,4,12","5,5,3",1500,,0,5,10000,33230,0,,1.5,21,5,0,50010013,295,0
1209026,,,1209,26,3,0,,2,,50,"2,5,24","1,1,1000",3000,,10000,5,10000,34979,0,,1.5,26,3,0,50010014,320,1
1209027,,,1209,27,3,0,,2,,25,"1,4,14","1,1,1",1500,,0,5,10000,36727,0,,1.5,27,3,0,50010013,345,1
1209028,,,1209,30,3,0,,2,,25,"1,2,4,12","1,2,2,2",1500,,0,5,10000,38477,0,,1.5,28,3,0,50010013,350,1
1209029,,,1209,100,3,0,,2,,50,"2,5,24","1,1,1000",3000,,10000,5,10000,50000,0,,1.5,26,3,0,50010015,320,1
1209030,,,1209,101,3,0,,2,,25,"1,2,4,12","1,2,2,2",1500,,0,5,10000,38477,0,,1.5,28,3,0,50010013,350,1
1209031,,,1209,999,3,0,,1,,37,"4,5,1,2","3,3,2,2",1500,,0,5,10000,43724,4232,,1.5,21,5,0,50010013,350,0
